m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.8662857142857142,0.7911523042143193,0.9007197389633561,1.0,0.43542514
80,20,100,0.8869285714285715,0.8135619658489815,0.8989176407571883,1.0,0.72444722
100,25,100,0.85824,0.790103534916395,0.8821981420531511,1.0,1.1986772199999998
120,30,100,0.8798095238095238,0.8072014033369396,0.8836791794568514,1.0,4.1946699800000005
140,35,100,0.896256559766764,0.8229097084323735,0.8859050408050473,1.0,8.78503318
160,40,100,0.86575,0.8004366576842761,0.8803875261742681,1.0,9.30478312
180,45,100,0.8813544973544973,0.814342947345175,0.8812100136617118,1.0,15.308084260000001
200,50,100,0.8983542857142858,0.8314796158477205,0.8798435313711209,1.0,17.311712280000002
220,55,100,0.911650531286895,0.842521228968138,0.8836123119664677,1.0,18.977372159999998
240,60,100,0.9005476190476192,0.8330262891043946,0.8859411061949662,1.0,19.25296818
260,65,100,0.901024513947591,0.8349474585293516,0.8798816033073853,1.0,25.976661380000003
280,70,100,0.9181224489795918,0.8493383555285068,0.8872383989384354,1.0,29.135984340000004
300,75,100,0.9226107936507937,0.8567981240642808,0.8855719953316136,1.0,31.595291279999998
320,80,100,0.9060848214285715,0.8400160500262117,0.8874788522132795,1.0,32.04601004
340,85,100,0.9111458230350964,0.8456757951875931,0.8802637979265006,1.0,33.54507234
360,90,100,0.9212028218694887,0.857260628393292,0.8728013587133457,1.0,36.39848868
380,95,100,0.9184835773644637,0.8539628834127851,0.8778967198827907,1.0,36.29387112
400,100,100,0.9284285714285714,0.8623825737612609,0.8789594516369762,1.0,38.21937998
420,105,100,0.9209821833495303,0.856528549431004,0.877174143891463,1.0,41.46384602
440,110,100,0.9315584415584416,0.8679646511971322,0.8709662960531096,1.0,42.94124308
460,115,100,0.9339994598973804,0.869929703456466,0.8757755355727099,1.0,47.96084054000001
480,120,100,0.9281289682539683,0.866295008229557,0.8744438192440278,1.0,48.76055626
500,125,100,0.9251181714285714,0.8628177226419185,0.8778592912782018,1.0,50.86018744
520,130,100,0.9363550295857987,0.8758742067609987,0.8736716256257886,1.0,78.24481490000001
540,135,100,0.9297103664511072,0.8670156966816357,0.8697918175951518,1.0,81.8708975
560,140,100,0.9321559766763847,0.8689251021074844,0.8713630132045068,1.0,88.97701328
580,145,100,0.940616273144216,0.8789461138930731,0.8752676655183537,1.0,94.94947162
600,150,100,0.9473485714285715,0.8845663691172886,0.87334543696902,1.0,103.35843259999999
