m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.8533333333333333,0.7794144313696257,0.9007131537962015,1.0,3.4481597200000005
80,20,100,0.8728571428571428,0.8006643936035944,0.8989095432166938,1.0,4.976626560000001
100,25,100,0.8517028571428572,0.7840813476077917,0.8821902565950245,1.0,10.201371720000001
120,30,100,0.8670476190476192,0.7954772172599183,0.8836681313409163,1.0,46.71752816
140,35,100,0.883125364431487,0.8108495470580035,0.8858938376394571,1.0,117.29473438
160,40,100,0.8555714285714286,0.7910193396127023,0.8803750876864467,1.0,141.9919848
180,45,100,0.8682892416225749,0.8022657282105472,0.8811958752542397,1.0,253.89996523999997
200,50,100,0.8852685714285714,0.8193637399437173,0.879827544553379,1.0,260.0548686
220,55,100,0.899456906729634,0.8312467348437871,0.8835962178907069,1.0,282.19963457999995
240,60,100,0.8891349206349206,0.8224640926585319,0.8859247668894226,1.0,358.01292628
260,65,100,0.8877092138630601,0.822607694204067,0.8798629018832577,1.0,488.3279172199999
280,70,100,0.9039067055393586,0.8361867135994313,0.8872189679599869,1.0,541.50073282
300,75,100,0.9087847619047619,0.843954713611469,0.885550307024425,1.0,659.76598008
320,80,100,0.8937232142857143,0.8285563304929611,0.8874589108506307,1.0,689.2123945200001
340,85,100,0.897004448838359,0.8325488671532296,0.8802401488021143,1.0,803.3875620000001
