m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,3729.0,204.12455018839802,25.0,0.7700399
120,60,30,5467.2,263.77351147014525,30.0,0.8839338
140,70,35,7570.0,338.74104988110423,35.0,7.68021662
160,80,40,9581.2,387.56820128557587,40.0,8.40182396
180,90,45,12309.8,474.40354239934925,45.0,8.72062674
200,100,50,15520.2,518.7391973521518,50.0,10.43376088
220,110,55,19043.4,637.7175428422864,55.0,10.06180086
240,120,60,22394.8,723.2624589895452,60.0,10.754191700000002
260,130,65,26247.4,778.4903340123799,65.0,11.39758264
280,140,70,30994.6,895.9499188634021,70.0,11.976104000000001
300,150,75,35761.4,940.5161696668061,75.0,13.172773799999998
320,160,80,40033.4,1081.6990785925427,80.0,13.747608840000002
340,170,85,45338.8,1116.7252929453994,85.0,15.545399080000001
360,180,90,51277.0,1171.9824846028844,90.0,16.394470419999998
380,190,95,56908.2,1302.3771279528603,95.0,18.308637179999998
400,200,100,63835.6,1408.982336782352,100.0,17.88990712
420,210,105,69891.2,1477.848624967058,105.0,19.718210499999998
440,220,110,77258.6,1536.5087620992058,110.0,19.78268966
460,230,115,84920.8,1693.9476100104948,115.0,22.79577622
480,240,120,91577.8,1757.3022053523703,120.0,23.48985218
500,250,125,98995.8,1873.4573995834157,125.0,23.685495659999997
520,260,130,108430.6,1943.1460683471382,130.0,45.03884784
540,270,135,115845.8,2063.9069694735,135.0,48.04940762
560,280,140,125104.8,2180.906890385042,140.0,57.48031096
580,290,145,135231.2,2280.002684650386,145.0,61.233219899999995
600,300,150,146031.0,2387.6688265196067,150.0,73.44743918
60,30,15,1347.8,107.82353908540037,15.0,0.28321192
80,40,20,2448.6,164.22528133294108,20.0,0.43429194000000004
