m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.8557460317460318,0.7816202812970113,0.9007153897988184,1.0,0.28321192
80,20,100,0.8745,0.8021720093523573,0.8989120061162328,1.0,0.43429194000000004
100,25,100,0.8523428571428571,0.7846689667515093,0.8821931367005347,1.0,0.7700399
120,30,100,0.8678095238095238,0.7961765775866716,0.8836713114319348,1.0,0.8839338
140,35,100,0.882798833819242,0.8105483998213353,0.8858968244052983,1.0,7.68021662
160,40,100,0.8554642857142858,0.7909175205206502,0.8803781992316339,1.0,8.40182396
180,45,100,0.8684162257495591,0.8023817517315935,0.8811990117129562,1.0,8.72062674
200,50,100,0.8868685714285715,0.8208479683942362,0.8798324790161335,1.0,10.43376088
220,55,100,0.8993341204250296,0.8311329352830619,0.8835993643342672,1.0,10.06180086
240,60,100,0.8886825396825397,0.8220455939347607,0.8859280458950003,1.0,10.754191700000002
260,65,100,0.8874860524091293,0.8224008908466406,0.8798662015957899,1.0,11.39758264
280,70,100,0.9036326530612244,0.8359338584048883,0.8872223590651597,1.0,11.976104000000001
300,75,100,0.9082260317460318,0.8434357561683775,0.8855538172700843,1.0,13.172773799999998
320,80,100,0.8936026785714286,0.8284442779507076,0.8874622950927826,1.0,13.747608840000002
340,85,100,0.8964666337123084,0.8320494624513832,0.8802435812202255,1.0,15.545399080000001
360,90,100,0.9043562610229277,0.8415837728418563,0.8727785449359333,1.0,16.394470419999998
380,95,100,0.900802532647408,0.837520499084939,0.8778735407268214,1.0,18.308637179999998
400,100,100,0.911937142857143,0.8470640722316964,0.8789357137386127,1.0,17.88990712
420,105,100,0.9056196954972465,0.8422362543595918,0.8771500024084398,1.0,19.718210499999998
440,110,100,0.9121440377804013,0.8498612357525817,0.8709376926843602,1.0,19.78268966
460,115,100,0.9173189305968134,0.8543896689998158,0.875749363602052,1.0,22.79577622
480,120,100,0.9085099206349205,0.8479814806031125,0.8744141535312269,1.0,23.48985218
500,125,100,0.9051044571428571,0.8441515009433049,0.8778284591122223,1.0,23.685495659999997
520,130,100,0.9165731191885038,0.8573615019798314,0.873639498619697,1.0,45.03884784
540,135,100,0.9080603566529494,0.8468247224547415,0.8697582354481547,1.0,48.04940762
560,140,100,0.9118425655976676,0.8499882977741677,0.8713299151224906,1.0,57.48031096
580,145,100,0.9188462714455581,0.8585988241988073,0.8752315196487928,1.0,61.233219899999995
600,150,100,0.9271809523809523,0.8657302067164789,0.8733093461627783,1.0,73.44743918
