m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.8542222222222222,0.7802437212984963,0.9007133826291913,1.0,1.12550506
80,20,100,0.8733571428571428,0.8011224935660548,0.898909683302548,1.0,2.29000128
100,25,100,0.8520685714285715,0.784416971097271,0.8821905092314759,1.0,3.8806325200000003
120,30,100,0.8678095238095238,0.7961759030226281,0.8836684191393512,1.0,5.63958016
140,35,100,0.8825422740524781,0.8103129399287072,0.885894123181784,1.0,77.08503639999999
160,40,100,0.8556250000000001,0.7910686767487393,0.8803753579281988,1.0,88.59680746
180,45,100,0.8685008818342151,0.8024612805425093,0.8811961556256677,1.0,99.7455405
200,50,100,0.88704,0.8210064733244682,0.8798287367501985,1.0,116.59465795999999
220,55,100,0.8997119244391971,0.8314826405192248,0.8835964451475595,1.0,126.97336003999999
240,60,100,0.8893095238095237,0.8226256690499568,0.8859250011515357,1.0,139.50772397999998
260,65,100,0.8879188503803889,0.8228019412395137,0.879863135037471,1.0,159.39230932
280,70,100,0.9040758017492712,0.8363431931931519,0.887219193798215,1.0,169.30798679999998
300,75,100,0.9088812698412699,0.8440441669099703,0.8855505321204887,1.0,200.39806884
320,80,100,0.893705357142857,0.8285396073209338,0.8874591213951664,1.0,197.17076464
340,85,100,0.8970677212061295,0.8326075076815804,0.8802403540363481,1.0,226.83543767999998
360,90,100,0.9049947089947089,0.8421782056278143,0.8727751521183009,1.0,272.69887038
380,95,100,0.9009734863474476,0.8376801298089915,0.8778701689299974,1.0,289.7061706
400,100,100,0.9127771428571428,0.8478442186073176,0.8789324192771778,1.0,309.81489932
420,105,100,0.9061846452866862,0.842761177865944,0.8771465204297899,1.0,350.1824312
440,110,100,0.9131216056670602,0.8507725788140167,0.8709342137321471,1.0,377.13090336
460,115,100,0.9180707534431543,0.8550904856570695,0.8757459377318565,1.0,412.08537484
480,120,100,0.9092043650793651,0.8486298095093258,0.8744106109326262,1.0,433.0378453
500,125,100,0.9055817142857142,0.8445968554703966,0.8778249580825254,1.0,488.10159195999995
520,130,100,0.9175824175824175,0.8583053537730004,0.8736359286916177,1.0,687.8170172
540,135,100,0.9088191260043113,0.8475325084432909,0.8697546795563611,1.0,722.8248272000001
560,140,100,0.9125918367346939,0.8506866260174635,0.8713263656936711,1.0,767.09996508
580,145,100,0.9196779344317989,0.8593757068960735,0.8752278963325845,1.0,879.2349160800001
600,150,100,0.9279974603174603,0.8664927074918714,0.8733056510504837,1.0,899.60799858
