m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,50,25,2479.0,189.8941287266486,47.6,0.80053606
120,60,30,3564.8,244.1392821913924,58.2,3.86774354
140,70,35,4902.6,314.8146836594118,68.4,8.47500908
160,80,40,6312.8,360.92544535252165,77.6,9.842583380000002
180,90,45,8009.4,440.43488634716016,87.6,11.614442180000001
200,100,50,9885.6,484.0346301593596,97.8,10.84408038
220,110,55,11987.6,590.1371371544152,108.6,12.076716600000001
240,120,60,14154.2,668.8421402323386,118.6,12.942090440000001
260,130,65,16757.8,722.805249430159,126.8,13.31637296
280,140,70,19337.0,828.1742755362764,138.0,15.15014922
300,150,75,22195.4,871.7865228156352,147.8,16.27807904
320,160,80,25154.4,1000.0430072240542,157.8,16.325289639999998
340,170,85,28470.6,1038.3308758494286,168.0,18.06417404
360,180,90,31938.4,1090.1998751755805,177.2,19.8764553
380,190,95,35445.6,1207.9371932409526,188.4,21.3016243
400,200,100,39467.8,1306.493332250834,198.0,22.18494774
420,210,105,43509.2,1368.903958018063,207.8,24.47663486
440,220,110,47707.8,1431.8515642882062,217.6,25.544674800000003
460,230,115,51963.6,1567.6595408914004,227.8,27.240199340000004
480,240,120,56728.0,1636.030943029034,237.4,30.4900058
500,250,125,61436.8,1743.11122998824,246.0,32.1992551
520,260,130,66441.2,1806.353128223976,258.0,44.84284452000001
540,270,135,71444.4,1915.449067166627,267.2,46.68023152
560,280,140,76677.4,2025.7707301675723,276.4,51.81942796
580,290,145,82599.6,2114.879442827751,287.6,53.73971616
600,300,150,88095.8,2212.6860008289395,298.4,60.12121946
60,30,15,910.2,99.81097022003664,28.8,0.16619782
80,40,20,1586.6,150.63568138279913,39.0,0.36262678
