m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,100,25,4354.2,234.12626119479006,98.0,23.25216126
120,120,30,6273.6,305.31383223321893,118.0,25.705810859999996
140,140,35,8519.0,406.19752877196754,137.2,26.47701958
160,160,40,11087.2,445.7771201741563,157.2,30.352425259999997
180,180,45,14090.2,522.5781983531558,176.6,32.18017288
200,200,50,17379.0,615.2573857484088,196.8,33.83914704
220,220,55,21169.2,691.0926466557694,217.0,37.70564324000001
240,240,60,25064.0,764.184146235651,236.6,40.987741060000005
260,260,65,29431.4,857.8877823295998,257.2,42.38550666
280,280,70,34202.4,946.0006963689139,276.2,44.08589574
300,300,75,39298.2,1063.4792890817603,296.2,46.64177992
320,320,80,44980.4,1155.5079392571538,316.6,50.95219638
340,340,85,50814.8,1236.0923621552429,335.4,53.45974466
360,360,90,56876.4,1400.2461176829572,356.2,59.27842189999999
380,380,95,63769.2,1452.8842616124298,376.8,95.172192
400,400,100,70621.6,1574.4290816947578,396.0,102.1997318
420,420,105,77498.2,1640.0913415989864,416.0,127.71648384
440,440,110,85314.8,1781.8927737010395,436.4,146.81824150000003
460,460,115,93654.8,1877.6970386892554,456.4,161.31726682
480,480,120,101932.6,2047.0232178130886,475.6,172.35514555999998
500,500,125,110994.6,2090.303147890886,493.8,202.21055512
520,520,130,120057.6,2229.8090239599383,515.2,215.81578706
540,540,135,129644.2,2314.5799734834522,535.2,236.80396962
560,560,140,139024.8,2487.5390745563527,554.8,255.57588768
580,580,145,148990.8,2609.999208534769,573.8,278.9623013
600,600,150,159705.2,2711.8538602780873,594.8,287.4991206
60,60,15,1583.2,118.09672827060163,58.4,1.1476953
80,80,20,2808.4,175.5588767236775,78.4,1.67623952
