m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,100,25,4354.2,234.12626119479006,98.0,21.56069936
120,120,30,6273.6,305.31383223321893,118.0,23.00594924
140,140,35,8519.0,406.19752877196754,137.2,22.85437178
160,160,40,11087.2,445.7771201741563,157.2,27.024990780000003
180,180,45,14090.2,522.5781983531558,176.6,29.598578779999997
200,200,50,17379.0,615.2573857484088,196.8,31.11371182
220,220,55,21169.2,691.0926466557694,217.0,33.97140526
240,240,60,25064.0,764.184146235651,236.6,36.31386258
260,260,65,29431.4,857.8877823295998,257.2,37.089603960000005
280,280,70,34202.4,946.0006963689139,276.2,40.901030260000006
300,300,75,39298.2,1063.4792890817603,296.2,44.55440104
320,320,80,44980.4,1155.5079392571538,316.6,48.9852258
340,340,85,50814.8,1236.0923621552429,335.4,54.0065948
360,360,90,56876.4,1400.2461176829572,356.2,60.856331239999996
380,380,95,63769.2,1452.8842616124298,376.8,100.53042246
400,400,100,70621.6,1574.4290816947578,396.0,114.48140558
420,420,105,77498.2,1640.0913415989864,416.0,151.28217280000004
440,440,110,85314.8,1781.8927737010395,436.4,167.0428174
460,460,115,93654.8,1877.6970386892554,456.4,183.20555586
480,480,120,101932.6,2047.0232178130886,475.6,198.96730974
500,500,125,110994.6,2090.303147890886,493.8,236.63484926
520,520,130,120057.6,2229.8090239599383,515.2,253.6244775
540,540,135,129644.2,2314.5799734834522,535.2,279.98993784000004
560,560,140,139024.8,2487.5390745563527,554.8,297.77769964
580,580,145,148990.8,2609.999208534769,573.8,322.06984056
600,600,150,159705.2,2711.8538602780873,594.8,333.95441044
60,60,15,1583.2,118.09672827060163,58.4,1.16817838
80,80,20,2808.4,175.5588767236775,78.4,1.7023605400000001
