m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,100,25,4251.4,234.11739290024025,97.8,227.17682601999996
120,120,30,6148.6,305.30153889483176,118.0,238.46528333999998
140,140,35,8351.4,406.17994538044206,137.2,299.63807643999996
160,160,40,10873.4,445.75453281343823,157.4,347.2720887
180,180,45,13791.0,522.5472490880935,176.8,417.64987806
200,200,50,17064.8,615.2184437153595,197.0,442.2111444
220,220,55,20643.4,691.0419345949359,216.8,612.8907002399999
240,240,60,24456.6,764.1234469091872,236.6,697.57238612
260,260,65,28735.0,857.8156973811247,256.8,756.3785156
280,280,70,33275.4,945.9136052457419,275.8,983.2731061800001
300,300,75,-1.0,-1.0,-1.0,-1.0
320,320,80,-1.0,-1.0,-1.0,-1.0
340,340,85,-1.0,-1.0,-1.0,-1.0
360,360,90,-1.0,-1.0,-1.0,-1.0
380,380,95,-1.0,-1.0,-1.0,-1.0
400,400,100,-1.0,-1.0,-1.0,-1.0
420,420,105,-1.0,-1.0,-1.0,-1.0
440,440,110,-1.0,-1.0,-1.0,-1.0
460,460,115,-1.0,-1.0,-1.0,-1.0
480,480,120,-1.0,-1.0,-1.0,-1.0
500,500,125,-1.0,-1.0,-1.0,-1.0
520,520,130,-1.0,-1.0,-1.0,-1.0
540,540,135,-1.0,-1.0,-1.0,-1.0
560,560,140,-1.0,-1.0,-1.0,-1.0
580,580,145,-1.0,-1.0,-1.0,-1.0
600,600,150,-1.0,-1.0,-1.0,-1.0
60,60,15,1541.4,118.09352095288075,58.6,23.877841
80,80,20,2732.8,175.55304265287072,78.2,21.051526459999998
