m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,100,25,4255.2,234.11756897075142,98.0,190.68479051999998
120,120,30,6154.2,305.3015951359843,118.0,200.2850874
140,140,35,8356.6,406.1800483075828,137.2,291.00104672000003
160,160,40,10880.6,445.75459905367023,157.2,322.74343206000003
180,180,45,13798.6,522.5473396408331,176.6,426.30068525999997
200,200,50,17074.6,615.2185090465849,197.2,464.61768
220,220,55,20652.6,691.0420340873505,216.8,564.9612609799999
240,240,60,24471.0,764.1235895994885,236.6,602.5403639599999
260,260,65,28753.0,857.8158214781026,256.8,685.91918406
280,280,70,33290.6,945.9137575955135,275.8,868.59116512
300,300,75,38318.0,1063.3805074225481,296.2,920.6191259999999
320,320,80,43777.0,1155.3894486360682,316.4,1038.77792028
340,340,85,-1.0,-1.0,-1.0,-1.0
360,360,90,-1.0,-1.0,-1.0,-1.0
380,380,95,-1.0,-1.0,-1.0,-1.0
400,400,100,-1.0,-1.0,-1.0,-1.0
420,420,105,-1.0,-1.0,-1.0,-1.0
440,440,110,-1.0,-1.0,-1.0,-1.0
460,460,115,-1.0,-1.0,-1.0,-1.0
480,480,120,-1.0,-1.0,-1.0,-1.0
500,500,125,-1.0,-1.0,-1.0,-1.0
520,520,130,-1.0,-1.0,-1.0,-1.0
540,540,135,-1.0,-1.0,-1.0,-1.0
560,560,140,-1.0,-1.0,-1.0,-1.0
580,580,145,-1.0,-1.0,-1.0,-1.0
600,600,150,-1.0,-1.0,-1.0,-1.0
60,60,15,1540.8,118.09349388587009,58.6,7.902155860000001
80,80,20,2737.8,175.5530575355387,78.2,15.91438604
