m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,100,25,4270.8,234.12119600224182,98.0,39.56078684
120,120,30,6171.6,305.3050258643427,118.0,43.71142704
140,140,35,8376.6,406.1847740366858,137.2,60.08351209999999
160,160,40,10903.2,445.75996751049206,157.2,59.44478614
180,180,45,13820.4,522.553787727555,176.8,73.62724125999999
200,200,50,17094.8,615.2263199774097,197.2,90.83989794
220,220,55,20669.4,691.0509019883577,216.8,93.77976170000001
240,240,60,24484.2,764.1338217321847,236.6,95.47605873999998
260,260,65,28766.2,857.8274703726236,257.0,103.30724022
280,280,70,33301.8,945.9266412347379,275.8,119.03090486
300,300,75,38332.6,1063.3949620980045,296.4,123.61946582
320,320,80,43783.8,1155.4054941579261,316.4,139.01634336
340,340,85,49392.0,1235.9741580187206,335.6,155.92484462000002
360,360,90,55483.6,1400.1191473503475,356.4,180.92288319999997
380,380,95,61765.6,1452.7298421342155,376.6,268.39003326
400,400,100,68354.8,1574.2533022736366,396.0,296.97561484
420,420,105,75138.6,1639.9006882188824,415.8,349.20997672
440,440,110,82877.6,1781.6818001891552,436.4,372.20086777999995
460,460,115,90577.6,1877.4572301979838,456.4,417.0991974
480,480,120,98521.2,2046.7562540404301,475.4,465.54497898
500,500,125,106684.6,2090.0023817454394,493.6,503.7909247400001
520,520,130,115795.4,2229.487389165476,515.4,523.4655771800001
540,540,135,124797.6,2314.2249818029413,535.4,557.02530844
560,560,140,134210.2,2487.1674673458247,554.8,608.96665954
580,580,145,143346.0,2609.5853161397235,573.6,675.69325472
600,600,150,153384.0,2711.3965161687365,594.6,695.32392396
60,60,15,1554.0,118.09528629214215,58.6,1.8991410600000003
80,80,20,2745.2,175.55643704203766,78.2,3.4016055199999995
