m,r,d,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
60,15,100,0.9866666666666667,0.455988548048575,0.8801165728171162,3.9066666666666663,1.8991410600000003
80,20,100,0.9804285714285715,0.4536368194252202,0.8876050778433285,3.91,3.4016055199999995
100,25,100,0.9761828571428571,0.4554817408661111,0.8883974259842654,3.9200000000000004,39.56078684
120,30,100,0.9796190476190476,0.4555787841577349,0.8877793362795379,3.9333333333333327,43.71142704
140,35,100,0.9768629737609329,0.45261342887408385,0.8792204505786296,3.9200000000000004,60.08351209999999
160,40,100,0.9735000000000001,0.4538904418283349,0.8836344982132165,3.9300000000000006,59.44478614
180,45,100,0.974984126984127,0.45717529385330236,0.8824223108313337,3.9288888888888893,73.62724125999999
200,50,100,0.9768457142857143,0.45744383002189537,0.8812228817725467,3.944,90.83989794
220,55,100,0.9761227863046045,0.4585786562424693,0.8862323144768848,3.9418181818181823,93.77976170000001
240,60,100,0.9715952380952381,0.45619134750857393,0.8860731916796383,3.943333333333334,95.47605873999998
260,65,100,0.9726525781910397,0.45546290001692585,0.8829782950645862,3.953846153846154,103.30724022
280,70,100,0.9708979591836735,0.4564758906196366,0.8824363630537098,3.94,119.03090486
300,75,100,0.9735263492063492,0.4582809115017281,0.8849298344564088,3.9519999999999995,123.61946582
320,80,100,0.9773169642857142,0.46153347771558123,0.8843322223387874,3.9550000000000005,139.01634336
340,85,100,0.9766089965397924,0.46173064185367546,0.882829312580699,3.948235294117647,155.92484462000002
360,90,100,0.978546737213404,0.4620047305364559,0.8823343538521005,3.96,180.92288319999997
380,95,100,0.9776905421448359,0.46365588618638076,0.8854651379943503,3.9642105263157887,268.39003326
400,100,100,0.9764971428571428,0.4627700136874333,0.8838296644281602,3.96,296.97561484
420,105,100,0.9736132167152576,0.46259331835697654,0.8833496258664522,3.96,349.20997672
440,110,100,0.9784840613931524,0.4619927868294373,0.8824706321827837,3.9672727272727273,372.20086777999995
460,115,100,0.9784239805563058,0.4636809991744495,0.8824021829415652,3.9686956521739134,417.0991974
480,120,100,0.977392857142857,0.4636857159443938,0.8846851820009363,3.961666666666667,465.54497898
500,125,100,0.9754020571428571,0.4645868460919581,0.8846569008023459,3.9488,503.7909247400001
520,130,100,0.978828402366864,0.4662916576021606,0.8838638018390611,3.964615384615385,523.4655771800001
540,135,100,0.9782292768959435,0.46696166965141916,0.8851981766983152,3.9659259259259256,557.02530844
560,140,100,0.9782084548104957,0.46488428097251056,0.8817547177957412,3.9628571428571435,608.96665954
580,145,100,0.9739833531510106,0.464367953695049,0.8837424173418725,3.955862068965517,675.69325472
600,150,100,0.9738666666666667,0.46480712545269387,0.8832625473326662,3.964,695.32392396
