m,n,r,DRS_H_norm_0_mean,DRS_H_norm_1_mean,DRS_H_rank_mean,DRS_time_mean
100,100,25,4310.8,234.1258595603496,98.0,9.652834
120,120,30,6220.8,305.3118366557485,118.0,9.38591432
140,140,35,8458.8,406.1962740097534,137.2,10.74820248
160,160,40,10989.2,445.77322376890214,157.4,10.03741044
180,180,45,13916.0,522.5702744569593,176.8,11.613394780000002
200,200,50,17172.0,615.2482824552484,197.2,12.09087754
220,220,55,20747.0,691.0746040998642,217.0,12.13042976
240,240,60,24557.0,764.1602548906637,236.6,13.27973742
260,260,65,28856.8,857.859950066341,257.0,12.743812740000001
280,280,70,33381.4,945.9638122060747,275.8,14.93935022
300,300,75,38407.6,1063.4374770062973,296.4,15.58138616
320,320,80,43834.0,1155.4546992513074,316.6,17.19594566
340,340,85,49433.0,1236.0274890464302,335.6,21.156138799999997
360,360,90,55559.6,1400.1798342084924,356.4,31.63567188
380,380,95,61769.6,1452.7955165579585,376.4,51.260228899999994
400,400,100,68355.2,1574.325780300143,396.0,58.38449053999999
420,420,105,75100.8,1639.9774195554442,415.8,67.90708796
440,440,110,82797.2,1781.7683531697007,436.6,72.17997596000001
460,460,115,90497.8,1877.5485571505592,456.4,77.46379094000001
480,480,120,98416.2,2046.8558236041874,475.4,85.91717036
500,500,125,106473.4,2090.104372515008,493.8,94.37652315999999
520,520,130,115637.0,2229.599660081043,515.2,96.84677292
540,540,135,124526.4,2314.34442478861,535.4,105.09944026000001
560,560,140,133957.0,2487.297880297242,554.8,110.70594043999999
580,580,145,143073.4,2609.7219107690994,574.0,120.34403922000001
600,600,150,153019.0,2711.5419068777896,594.6,127.88078304000001
60,60,15,1573.8,118.096948793195,58.6,0.59539916
80,80,20,2774.2,175.5598028165238,78.2,0.90855932
