m,n,r,GRB_PLS_H_norm_0_mean,GRB_PLS_H_norm_1_mean,GRB_PLS_H_rank_mean,GRB_P1_P3_time_mean,GRB_PLS_time_mean
100,50,25,2408.6,189.88770002099628,47.2,413.66021653999996,1.01830942
120,60,30,3467.8,244.12756792371314,57.8,1034.50666908,1.7816711399999998
140,70,35,4762.6,314.8052507994763,67.4,-1.0,3.1964913800000003
160,80,40,6161.2,360.91470720219604,76.6,-1.0,5.6217554199999995
180,90,45,7833.0,440.4235808646802,87.0,-1.0,8.389274480000001
200,100,50,9658.0,484.0175526361969,97.0,-1.0,14.3615823
220,110,55,11733.8,590.1176860233966,108.4,-1.0,21.481836620000003
240,120,60,13846.8,668.8173334588822,117.8,-1.0,28.77705418
260,130,65,16420.0,722.7787583869818,126.2,-1.0,40.179492419999995
280,140,70,18943.8,828.1433808960923,137.2,-1.0,52.99033156
300,150,75,21781.0,871.7524679602175,147.2,-1.0,64.19925721999999
320,160,80,24747.0,1000.0035682767286,157.8,-1.0,84.92751147999999
340,170,85,27981.6,1038.2852202407162,167.8,-1.0,109.30031097999999
360,180,90,31448.2,1090.1503699901311,176.6,-1.0,128.55282452
380,190,95,34902.6,1207.872496073492,187.4,-1.0,169.81295698
400,200,100,38866.0,1306.4251662940906,196.8,-1.0,207.35135406
420,210,105,42868.8,1368.8362425649823,206.8,-1.0,244.0811842
440,220,110,46997.0,1431.7750656571448,216.0,-1.0,314.89573086
460,230,115,51251.0,1567.5701375619383,227.2,-1.0,354.91654009999996
480,240,120,56027.2,1635.945541400486,235.4,-1.0,497.88048674000004
500,250,125,60692.6,1743.0160391060767,245.2,-1.0,499.53077804000003
520,260,130,65648.8,1806.2494823860548,257.6,-1.0,635.6929278800001
540,270,135,-1.0,-1.0,-1.0,-1.0,-1.0
560,280,140,-1.0,-1.0,-1.0,-1.0,-1.0
580,290,145,-1.0,-1.0,-1.0,-1.0,-1.0
600,300,150,-1.0,-1.0,-1.0,-1.0,-1.0
60,30,15,865.4,99.79826606390534,28.4,24.80203796,0.16626986000000005
80,40,20,1533.8,150.62917442445837,39.0,117.18668684,0.37874008
