m,n,r,P1_coeff_rank,PLS_coeff_rank,PMN_coeff_rank,P1_CN_mean,PLS_CN_mean,PMN_CN_mean
100,50,25,625,2500,1250,12.926929152233186,12.926929152233194,12.926929152233186
120,60,30,900,3600,1800,13.379344072045376,13.37934407204537,13.379344072045361
140,70,35,1225,4900,2450,13.71590372564917,13.715903725649161,13.715903725649161
160,80,40,1600,6400,3200,13.975984892718927,13.975984892718945,13.97598489271895
180,90,45,2025,8100,4050,14.182962020498024,14.182962020498016,14.182962020498021
200,100,50,2500,10000,5000,14.351575867692688,14.351575867692706,14.351575867692702
220,110,55,3025,12100,6050,14.491578628222545,14.491578628222538,14.491578628222536
240,120,60,3600,14400,7200,14.609677826856707,14.6096778268567,14.609677826856688
260,130,65,4225,16900,8450,14.7106376564068,14.7106376564068,14.7106376564068
280,140,70,4900,19600,9800,14.797934814496438,14.797934814496438,14.797934814496438
300,150,75,5625,22500,11250,14.874165680134505,14.874165680134507,14.874165680134501
320,160,80,6400,25600,12800,14.941308229656205,14.941308229656197,14.941308229656196
340,170,85,7225,28900,14450,15.000895731397744,15.000895731397751,15.000895731397748
360,180,90,8100,32400,16200,15.054135031283002,15.054135031282991,15.054135031282986
380,190,95,9025,36100,18050,15.10198900290705,15.101989002907066,15.101989002907072
400,200,100,10000,40000,20000,15.145235215573583,15.145235215573578,15.145235215573575
420,210,105,11025,44100,22050,15.184508454060387,15.184508454060373,15.184508454060374
440,220,110,12100,48400,24200,15.220332046983142,15.220332046983149,15.220332046983145
460,230,115,13225,52900,26450,15.253141295145976,15.25314129514596,15.253141295145955
480,240,120,14400,57600,28800,15.283301229825344,15.28330122982536,15.28330122982537
500,250,125,15625,62500,31250,15.311120239582909,15.311120239582902,15.311120239582895
520,260,130,16900,67600,33800,15.336860644944313,15.336860644944318,15.33686064494431
540,270,135,18225,72900,36450,15.360746989676795,15.360746989676795,15.360746989676802
560,280,140,19600,78400,39200,15.382972603823088,15.38297260382311,15.382972603823111
580,290,145,21025,84100,42050,15.40370484461457,15.40370484461459,15.403704844614575
600,300,150,22500,90000,45000,15.423089315848703,15.423089315848719,15.4230893158487
60,30,15,225,900,450,11.313708498984747,11.313708498984763,11.313708498984766
80,40,20,400,1600,800,12.286887704331898,12.2868877043319,12.286887704331901
