m,n,r,P1_P3_norm_0,P1_P3_norm_1,P1_P3_rank,P1_P3_time,PLS_norm_0,PLS_norm_1,PLS_rank,PLS_time
60,30.0,15.0,0.5018928955538581,0.8385113736993398,1.8933333333333333,24.80203796,0.5020086362945987,0.8385113961832928,1.8933333333333333,0.16626986000000002
80,40.0,20.0,0.5024989294241566,0.8272276615832945,1.95,117.18668684000002,0.5024331399504723,0.8272276611133849,1.95,0.37874008
100,50.0,25.0,0.506927530997506,0.8275681155620459,1.888,413.66021653999996,0.5068853902474006,0.8275681312648718,1.888,1.01830942
120,60.0,30.0,0.5050238167665575,0.8214987331444223,1.9266666666666665,1034.50666908,0.5051104593658354,0.8214987450306201,1.9266666666666665,1.7816711400000003
140,70.0,35.0,-1.0,-1.0,-1.0,-1.0,0.5099832624367372,0.8240503032045303,1.9257142857142857,3.19649138
160,80.0,40.0,-1.0,-1.0,-1.0,-1.0,0.5085968177901601,0.8235272547864131,1.9149999999999998,5.6217554199999995
180,90.0,45.0,-1.0,-1.0,-1.0,-1.0,0.5105851220199218,0.8204121913209228,1.9333333333333336,8.389274480000001
200,100.0,50.0,-1.0,-1.0,-1.0,-1.0,0.5107831247490554,0.8224937861853021,1.94,14.3615823
220,110.0,55.0,-1.0,-1.0,-1.0,-1.0,0.512102424704928,0.8205441490930057,1.9709090909090912,21.481836620000003
240,120.0,60.0,-1.0,-1.0,-1.0,-1.0,0.5082541061713965,0.8203761225088957,1.9633333333333334,28.77705418
260,130.0,65.0,-1.0,-1.0,-1.0,-1.0,0.5144853456594537,0.8178640656742326,1.9415384615384614,40.179492419999995
280,140.0,70.0,-1.0,-1.0,-1.0,-1.0,0.5109276116859475,0.821411385429937,1.9600000000000002,52.990331559999994
300,150.0,75.0,-1.0,-1.0,-1.0,-1.0,0.5137169805491825,0.8231480665410749,1.9626666666666666,64.19925722
320,160.0,80.0,-1.0,-1.0,-1.0,-1.0,0.5121170547691246,0.8214535308852853,1.9725000000000001,84.92751147999999
340,170.0,85.0,-1.0,-1.0,-1.0,-1.0,0.5135236706491758,0.820087335876649,1.9741176470588235,109.30031097999999
360,180.0,90.0,-1.0,-1.0,-1.0,-1.0,0.5161433331161873,0.8128745457721356,1.9622222222222223,128.55282452
380,190.0,95.0,-1.0,-1.0,-1.0,-1.0,0.5136589322297511,0.8158829784677556,1.9726315789473685,169.81295698
400,200.0,100.0,-1.0,-1.0,-1.0,-1.0,0.5157426549893364,0.8167388410490352,1.968,207.35135406
420,210.0,105.0,-1.0,-1.0,-1.0,-1.0,0.5165667606793509,0.8150711421107989,1.9695238095238097,244.0811842
440,220.0,110.0,-1.0,-1.0,-1.0,-1.0,0.516998608760413,0.8144291663468127,1.9636363636363636,314.89573086
460,230.0,115.0,-1.0,-1.0,-1.0,-1.0,0.5156455767510686,0.8107929872403439,1.9756521739130435,354.9165401
480,240.0,120.0,-1.0,-1.0,-1.0,-1.0,0.5188011720387479,0.8158701194008995,1.9616666666666667,497.88048674000004
500,250.0,125.0,-1.0,-1.0,-1.0,-1.0,0.5175352429453322,0.8188026870365338,1.9616,499.53077804000003
520,260.0,130.0,-1.0,-1.0,-1.0,-1.0,0.5190925940290771,0.8134751419108479,1.9815384615384617,635.6929278800001
540,270.0,135.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
560,280.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
580,290.0,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
600,300.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
