m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
100,25,100,9474,283.0721071307724,9473,276.42685280519663,0.9722514285714287,0.45364792648332264,0.8883813661785375,3.9120000000000004,971.2620390199997
120,30,100,13489,365.60903320972847,13496,347.7120301100347,-1.0,-1.0,-1.0,-1.0,-1.0
140,35,100,18505,484.99218964220535,18491,442.22089450114055,-1.0,-1.0,-1.0,-1.0,-1.0
160,40,100,23997,551.157143299383,24011,537.3628906604388,-1.0,-1.0,-1.0,-1.0,-1.0
180,45,100,30130,595.6236729716761,30207,620.8324172201005,-1.0,-1.0,-1.0,-1.0,-1.0
200,50,100,37347,643.6313912673388,37328,634.0394379927791,-1.0,-1.0,-1.0,-1.0,-1.0
220,55,100,45412,783.8660306473489,45418,807.6996875145222,-1.0,-1.0,-1.0,-1.0,-1.0
240,60,100,53876,832.1153537616414,53871,850.3000670744316,-1.0,-1.0,-1.0,-1.0,-1.0
260,65,100,63198,970.8617642638412,63077,926.6849994732856,-1.0,-1.0,-1.0,-1.0,-1.0
280,70,100,73336,1086.979048734625,73424,1136.0333951345249,-1.0,-1.0,-1.0,-1.0,-1.0
300,75,100,84094,1227.3519437652549,83948,1231.09662071923,-1.0,-1.0,-1.0,-1.0,-1.0
320,80,100,94847,1320.2123999783962,94836,1298.5490057387108,-1.0,-1.0,-1.0,-1.0,-1.0
340,85,100,107405,1401.3537839518267,107259,1433.5254417436215,-1.0,-1.0,-1.0,-1.0,-1.0
360,90,100,120225,1560.4016343833837,120542,1605.8992911016605,-1.0,-1.0,-1.0,-1.0,-1.0
380,95,100,133028,1629.7406785738822,133277,1579.401308775641,-1.0,-1.0,-1.0,-1.0,-1.0
400,100,100,147247,1678.527695216772,147096,1681.2810767796814,-1.0,-1.0,-1.0,-1.0,-1.0
420,105,100,161702,1834.7536124081373,161907,1873.4069859582023,-1.0,-1.0,-1.0,-1.0,-1.0
440,110,100,179140,2142.451893601868,179205,2058.208818343311,-1.0,-1.0,-1.0,-1.0,-1.0
460,115,100,196862,2222.0804638931963,196793,2268.481192943732,-1.0,-1.0,-1.0,-1.0,-1.0
480,120,100,213049,2447.7191940813536,213392,2428.6162865449605,-1.0,-1.0,-1.0,-1.0,-1.0
500,125,100,231089,2365.6758606605235,231186,2346.78893710198,-1.0,-1.0,-1.0,-1.0,-1.0
520,130,100,248349,2539.54478679826,248316,2554.0820469954174,-1.0,-1.0,-1.0,-1.0,-1.0
540,135,100,264704,2450.63766531446,264752,2450.0853056946553,-1.0,-1.0,-1.0,-1.0,-1.0
560,140,100,284931,2675.870463453326,284702,2624.094053123518,-1.0,-1.0,-1.0,-1.0,-1.0
580,145,100,307240,2752.0608983018924,308021,2885.2065590607726,-1.0,-1.0,-1.0,-1.0,-1.0
600,150,100,329125,2881.3786973518286,330093,2989.4651848748895,-1.0,-1.0,-1.0,-1.0,-1.0
60,15,100,3418,142.69607463931004,3419,149.3566589266831,0.9786666666666667,0.45229110463275035,0.8801021102734692,3.9066666666666663,44.678152620000006
80,20,100,6030,178.8318456914945,6028,171.71171990074436,0.9766428571428571,0.451886101131424,0.8875873955092486,3.91,267.47483692000003
