m,n,r,GRB_PMN_H_norm_0_mean,GRB_PMN_H_norm_1_mean,GRB_PMN_H_rank_mean,GRB_P1_P4_time_mean,GRB_PMN_time_mean
50,100,25,2408.6,189.88770171737627,47.2,426.59060947999996,1.06485722
60,120,30,3467.8,244.12756792371314,57.8,-1.0,2.06937126
70,140,35,4762.6,314.8052507994763,67.4,-1.0,3.73546806
80,160,40,6161.6,360.91470968351626,76.6,-1.0,6.371073439999999
90,180,45,7833.6,440.42358670161155,87.0,-1.0,9.387337599999999
100,200,50,9658.2,484.01755771555975,97.0,-1.0,15.919123840000001
110,220,55,11733.6,590.117688687099,108.4,-1.0,24.626389640000003
120,240,60,13846.2,668.8173303080506,117.8,-1.0,32.82126074
30,60,15,865.4,99.79826606390534,28.4,27.839259419999998,0.21335126
40,80,20,1533.8,150.62917442445837,39.0,128.70495957999998,0.46808366
