m,n,r,P123_norm_0,P123_norm_1,P123_rank,P123_time,PLSr_norm_0,PLSr_norm_1,PLSr_rank,PLSr_time
60,30.0,15.0,0.7796430936917738,0.9007125760741379,1.0,62.73874142,0.7796430936917738,0.9007125712769705,1.0,25.39835904
80,40.0,20.0,0.800926090801543,0.8989090229473586,1.0,358.00712574,0.800926090801543,0.8989090258532771,1.0,124.23044516
100,50.0,25.0,-1.0,-1.0,-1.0,-1.0,0.7843750264376553,0.8821899346840946,1.0,496.40048112000005
120,60.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
140,70.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
160,80.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,90.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200,100.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
220,110.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
240,120.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
260,130.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,140.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
300,150.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
320,160.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
340,170.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
360,180.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
380,190.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
400,200.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
420,210.0,105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
440,220.0,110.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
460,230.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
480,240.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
500,250.0,125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
520,260.0,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
540,270.0,135.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
560,280.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
580,290.0,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
600,300.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
