m,n,r,GRB_PLSr_H_norm_0_mean,GRB_PLSr_H_norm_1_mean,GRB_PLSr_H_rank_mean,GRB_P123_time_mean,GRB_PLSr_time_mean
50,100,25,-1.0,-1.0,-1.0,-1.0,-1.0
60,120,30,-1.0,-1.0,-1.0,-1.0,-1.0
70,140,35,-1.0,-1.0,-1.0,-1.0,-1.0
80,160,40,-1.0,-1.0,-1.0,-1.0,-1.0
90,180,45,-1.0,-1.0,-1.0,-1.0,-1.0
100,200,50,-1.0,-1.0,-1.0,-1.0,-1.0
110,220,55,-1.0,-1.0,-1.0,-1.0,-1.0
120,240,60,-1.0,-1.0,-1.0,-1.0,-1.0
130,260,65,-1.0,-1.0,-1.0,-1.0,-1.0
140,280,70,-1.0,-1.0,-1.0,-1.0,-1.0
150,300,75,-1.0,-1.0,-1.0,-1.0,-1.0
160,320,80,-1.0,-1.0,-1.0,-1.0,-1.0
170,340,85,-1.0,-1.0,-1.0,-1.0,-1.0
180,360,90,-1.0,-1.0,-1.0,-1.0,-1.0
190,380,95,-1.0,-1.0,-1.0,-1.0,-1.0
200,400,100,-1.0,-1.0,-1.0,-1.0,-1.0
210,420,105,-1.0,-1.0,-1.0,-1.0,-1.0
220,440,110,-1.0,-1.0,-1.0,-1.0,-1.0
230,460,115,-1.0,-1.0,-1.0,-1.0,-1.0
240,480,120,-1.0,-1.0,-1.0,-1.0,-1.0
250,500,125,-1.0,-1.0,-1.0,-1.0,-1.0
260,520,130,-1.0,-1.0,-1.0,-1.0,-1.0
270,540,135,-1.0,-1.0,-1.0,-1.0,-1.0
280,560,140,-1.0,-1.0,-1.0,-1.0,-1.0
290,580,145,-1.0,-1.0,-1.0,-1.0,-1.0
300,600,150,-1.0,-1.0,-1.0,-1.0,-1.0
30,60,15,1344.4,107.82320490300435,15.0,68.76275372,21.61328642
40,80,20,2444.8,164.22473926126142,20.0,287.65064910000007,110.89552119999999
