m,n,r,ADMM_H_norm_0_mean,ADMM_H_norm_1_mean,ADMM_H_rank_mean,ADMM_time_mean
100,100,25,4390.0,246.28584075479597,98.0,22.1162464
100,100,25,4341.0,260.1746124352054,97.5,21.9563912
100,100,25,4365.333333333333,241.75348798376467,98.0,21.61912723333333
100,100,25,4367.0,231.1095007939901,98.0,21.374725974999997
100,100,25,4354.2,234.12626119479006,98.0,21.22281072
120,120,30,4669.0,244.93323958966084,101.33333333333333,21.92571515
120,120,30,4896.714285714285,250.1882028422663,103.71428571428571,22.053459228571427
120,120,30,5073.875,256.70940188503016,105.5,22.2312144625
120,120,30,5204.888888888889,265.4671358316432,106.77777777777777,22.557971677777775
120,120,30,5313.9,269.7200467140045,108.0,22.791370099999998
140,140,35,5608.454545454545,285.4624775761591,110.63636363636364,22.7613626
140,140,35,5854.666666666667,294.82851690742126,112.83333333333333,23.007418291666664
140,140,35,6058.615384615385,305.1133431694929,114.6923076923077,23.2791865076923
140,140,35,6231.285714285715,309.8800215309291,116.28571428571429,23.449254249999996
140,140,35,6382.266666666666,315.2125407333255,117.73333333333333,23.50413092666666
160,160,40,6674.75,323.91293575083546,120.1875,23.716385862499994
160,160,40,6940.117647058823,330.59251908607814,122.41176470588235,24.0896777117647
160,160,40,7170.888888888889,334.8344691160609,124.27777777777777,24.363874816666662
160,160,40,7379.9473684210525,341.3130376815157,126.05263157894737,24.585000431578944
160,160,40,7558.5,347.8536855935332,127.6,24.765961429999997
180,180,45,7866.0,355.8399553644184,129.95238095238096,25.21300864761904
180,180,45,8144.090909090909,362.9155515046225,132.0,25.31827831363636
180,180,45,8396.434782608696,368.49206255675307,133.91304347826087,25.667404104347824
180,180,45,8634.875,375.75721775767124,135.70833333333334,25.833664608333333
180,180,45,8864.84,382.7985881454577,137.4,26.061780924
200,200,50,9199.615384615385,392.31287437316945,139.69230769230768,26.16681337307692
200,200,50,9503.333333333334,400.14157580017917,141.77777777777777,26.438392418518518
200,200,50,9785.285714285714,407.8724717803231,143.75,26.647658207142857
200,200,50,10033.103448275862,416.6620194681297,145.55172413793105,26.803807027586206
200,200,50,10283.866666666667,421.5417210792828,147.3,27.051863646666668
220,220,55,10635.677419354839,429.81529354175785,149.5483870967742,27.323504545161292
220,220,55,10965.90625,437.2797094209351,151.65625,27.54393653125
220,220,55,11280.39393939394,443.52185167705625,153.6060606060606,27.83264560909091
