m,n,r,norm_0,norm_1,rank,time
60,60,15.0,0.45229068768757735,0.8801033037066975,3.9066666666666663,20.693117660000002
80,80,20.0,0.4515884169122925,0.8875882551002077,3.91,18.1089953
100,100,25.0,0.4534143225682188,0.888382063915208,3.9120000000000004,223.404972
120,120,30.0,0.4538820264047819,0.8877691433073356,3.9333333333333327,235.74066550000003
140,140,35.0,0.45125261327382765,0.87920998390053,3.9200000000000004,296.20050216000004
160,160,40.0,0.4526501719823527,0.8836237168655124,3.935,342.45296571999995
180,180,45.0,0.4562027080061196,0.8824112628519638,3.9288888888888893,411.73895314000004
200,200,50.0,0.45664205270093283,0.8812115657438694,3.94,432.85933844
220,220,55.0,0.4580039542029562,0.8862207738688962,3.9418181818181823,608.43598888
240,240,60.0,0.45567726466122715,0.8860611558546413,3.943333333333334,682.22866626
260,260,65.0,0.45496948947137483,0.8829661602028509,3.950769230769231,737.162234
280,280,70.0,0.4561140550847383,0.8824241643136468,3.94,969.9053917000001
300,300,75.0,-1.0,-1.0,-1.0,-1.0
320,320,80.0,-1.0,-1.0,-1.0,-1.0
340,340,85.0,-1.0,-1.0,-1.0,-1.0
360,360,90.0,-1.0,-1.0,-1.0,-1.0
380,380,95.0,-1.0,-1.0,-1.0,-1.0
400,400,100.0,-1.0,-1.0,-1.0,-1.0
420,420,105.0,-1.0,-1.0,-1.0,-1.0
440,440,110.0,-1.0,-1.0,-1.0,-1.0
460,460,115.0,-1.0,-1.0,-1.0,-1.0
480,480,120.0,-1.0,-1.0,-1.0,-1.0
500,500,125.0,-1.0,-1.0,-1.0,-1.0
520,520,130.0,-1.0,-1.0,-1.0,-1.0
540,540,135.0,-1.0,-1.0,-1.0,-1.0
560,560,140.0,-1.0,-1.0,-1.0,-1.0
580,580,145.0,-1.0,-1.0,-1.0,-1.0
600,600,150.0,-1.0,-1.0,-1.0,-1.0
