m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
150,75,12,10,1043,81.69447648829124,1011,33.26452144742604,483,24.632144096871702,2.3401017
150,75,12,10,956,71.54442554987584,928,31.494234308965744,282,23.27151097290613,1.2562398
150,75,12,10,1041,75.55317614311713,1015,32.99540739000444,193,24.715353523118573,0.6993653
150,75,12,10,1039,72.46308285989159,1020,30.97693664912438,369,22.193191446807635,2.6405431
150,75,12,10,1020,81.23306308424193,999,33.468017903714035,418,25.12971644542898,2.9498913
150,75,12,10,1073,84.34926714989413,1065,33.28704741741035,425,25.96617337198992,2.8947289
150,75,12,10,1083,76.49328591522428,1070,29.590061045897443,359,22.27110547444696,1.5410163
150,75,12,10,1096,82.05181713391521,1088,32.143577889072546,338,23.299178257456436,2.2427016
150,75,12,10,1075,81.24841325926167,1069,35.08436932156886,283,22.593090851252953,2.3894482
150,75,12,10,1039,81.8795756231679,1035,34.72067952058479,526,23.22000959963382,3.759244
150,75,12,25,2660,115.01876382482911,2608,47.231855367109794,917,30.649035347467077,14.0463659
150,75,12,25,2521,99.7973007184745,2461,41.64825389479514,730,29.377574995113914,5.0233987
150,75,12,25,2409,93.8779409255544,2321,41.3634487159007,701,27.268498069043176,4.2443888
150,75,12,25,2632,129.46845285780716,2589,54.68321177525809,1243,39.455481327928915,5.9739955
150,75,12,25,2671,118.38840347827217,2624,47.84124455692737,1052,35.96920726504438,5.3430174
150,75,12,25,2669,118.07980376204726,2606,49.494180134402626,1156,31.111921892638037,5.8302265
150,75,12,25,2650,122.81624625743353,2613,49.614947616564585,1026,34.592063909501455,4.5649708
150,75,12,25,2623,111.57600697796849,2571,45.74631887539824,808,30.710657948514307,4.5464186
150,75,12,25,2500,110.2585316563025,2421,43.108931237422055,950,31.67665675262575,5.1338234
150,75,12,25,2663,118.90914644655774,2624,46.92985178271937,608,32.96802087582799,3.0121856
150,75,27,10,1092,163.8350005771391,1082,55.68646191609739,693,47.11853454069137,3.2345151
150,75,27,10,1105,165.28184631854754,1094,56.46963246119244,635,46.011262387279025,6.0440685
150,75,27,10,1123,155.06378092601975,1098,53.25404749593799,406,44.62918878910703,2.0547578
150,75,27,10,1084,158.91518325238243,1079,52.34839912802494,490,43.22348659129832,2.1779131
150,75,27,10,1046,147.37306496873654,1012,49.686432508585725,713,42.615534240602216,5.3696018
150,75,27,10,1071,146.1722524939387,1048,49.329583162954464,600,42.70736785408901,3.8309683
150,75,27,10,1093,150.91814402391924,1076,50.59875507580839,657,42.70467942599479,3.5366865
150,75,27,10,1069,147.4961060611436,1050,50.46042555419619,622,43.48530606773546,3.0149938
150,75,27,10,1087,161.1648213991856,1075,55.34246591789164,603,46.58242449175908,3.3221419
150,75,27,10,1072,165.10185568741412,1068,55.70399758711056,577,47.03222695298073,30.571976
150,75,27,25,2673,218.33123128658974,2611,72.94346950418867,1828,59.62716710901929,7.3147666
