m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,GRB_P1_H_norm_0,GRB_P1_H_norm_1,GRB_P1_time,GRB_P1_Sym_H_norm_0,GRB_P1_Sym_H_norm_1,GRB_P1_Sym_time
150,75,12,10,1043,81.69447648829124,1011,33.26452144742604,79,10.302810178991487,4.3766467,79,10.30281017920635,5.4523099
150,75,12,10,956,71.54442554987584,928,31.494234308965744,59,11.483003141260355,6.8566695,59,11.483003188698572,6.2217704
150,75,12,10,1041,75.55317614311713,1015,32.99540739000444,42,11.379415193301798,5.1296232,42,11.379415193315529,8.5396692
150,75,12,10,1039,72.46308285989159,1020,30.97693664912438,75,9.365493139377785,12.4701243,75,9.365493139377659,11.6649673
150,75,12,10,1020,81.23306308424193,999,33.468017903714035,64,9.238125155594062,3.2985599,64,9.238126107856456,4.1791303
150,75,12,10,1073,84.34926714989413,1065,33.28704741741035,63,11.833333510279079,3.2504392,63,11.833333510278736,3.632213
150,75,12,10,1083,76.49328591522428,1070,29.590061045897443,66,10.0267020638925,6.129831,66,10.026702063892477,6.6187624
150,75,12,10,1096,82.05181713391521,1088,32.143577889072546,71,9.384681462738211,5.7978392,71,9.38468146273821,5.4674473
150,75,12,10,1075,81.24841325926167,1069,35.08436932156886,50,10.482079369335638,10.0491195,50,10.48208000920892,14.0695591
150,75,12,10,1039,81.8795756231679,1035,34.72067952058479,66,9.03157398912358,7.0029977,66,9.031573989123604,6.3634328
150,75,12,25,2660,115.01876382482911,2608,47.231855367109794,133,11.85955834774364,54.9511868,133,11.859558347761268,56.9789677
150,75,12,25,2521,99.7973007184745,2461,41.64825389479514,246,19.19371801397841,69.3237234,338,19.589162547384365,600.2120714
150,75,12,25,2409,93.8779409255544,2321,41.3634487159007,91,11.414452299661452,32.6569524,91,11.414451451762865,26.6495255
150,75,12,25,2632,129.46845285780716,2589,54.68321177525809,100,15.597765116627166,32.4418186,100,15.597765116916666,37.2887541
150,75,12,25,2671,118.38840347827217,2624,47.84124455692737,103,13.61923474424708,20.4709647,103,13.619234876232866,17.150172
150,75,12,25,2669,118.07980376204726,2606,49.494180134402626,136,13.879041948458168,25.7530631,136,13.879041948418498,31.979074
