m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
120,40,30,10,570,282.7342117960986,4480,121.8267896975315,4201,113.9075688351385,3.744758
120,40,30,10,559,262.7214537681324,4477,124.82246458816304,4228,115.8966130893345,3.1725698
120,40,30,10,554,282.89994773819774,4677,129.4567339476918,4436,117.19581931393238,2.4527558
120,40,30,10,566,283.6438785938097,4638,118.10753832834953,4352,109.6778242676779,3.1605496
120,40,30,10,561,279.5979787159539,4598,115.85070868312283,4370,107.58812312474853,3.5948002
120,40,30,25,1269,659.765035903004,4798,95.6533230649045,4588,90.71846050256752,2.7506233
120,40,30,25,1269,667.3743707346206,4796,98.73510175918581,4565,94.33059658517399,3.9238594
120,40,30,25,1283,697.9179639658093,4797,97.87776878366117,4559,93.47819043178555,3.5168405
120,40,30,25,1281,678.455415350779,4799,97.45126248305203,4552,92.74017746078377,3.1007432
120,40,30,25,1266,691.5963261741706,4796,95.5405882392121,4539,91.64799074742325,3.0356051
120,60,45,10,864,438.6082095607725,7198,215.1368192645899,6571,202.08833264440116,4.3583657
120,60,45,10,856,432.24655564313156,7198,223.41535279993792,6612,209.228661363085,3.2901355
120,60,45,10,839,426.24095926721174,7020,229.57200904791526,6386,212.44372723751118,4.5769328
120,60,45,10,855,450.1428368661029,7137,206.49939651923802,6495,193.02420803128294,3.996007
120,60,45,10,856,435.1940735003361,7197,217.50209864534378,6543,204.71879022221668,4.7866527
120,60,45,25,1871,978.4947111179274,7200,166.91381042812006,6594,160.20962232952107,3.6692831
120,60,45,25,1931,1014.6009320992974,7198,175.73269043055788,6582,168.06822235135562,4.223825
120,60,45,25,1917,1022.0909992754433,7200,166.64387975717074,6651,159.43524737515094,3.2152915
120,60,45,25,1886,977.3320455388825,7199,169.41066290695102,6575,161.9066686775901,3.4547805
120,60,45,25,1897,967.7684778267716,7197,169.61655981593185,6659,162.0418680227341,3.1518436
