m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
180,90,15,10,1529,69.56971529205849,1539,75.57150172398882,284,54.0337438551342,83.3528252
180,90,15,10,1526,85.65566684250997,1530,83.27055216151795,463,64.76265609860596,101.7197671
180,90,15,10,1487,67.3990308420866,1481,71.99008881802308,222,48.51534135449857,5.5632921
180,90,15,10,1497,71.94719119069045,1498,70.78661853195634,338,55.33833487994248,97.650591
180,90,15,10,1498,67.50311836649729,1506,65.97394626130234,314,47.10093939214926,140.3139571
180,90,15,10,1484,61.828573124493545,1502,67.24524715059316,373,46.46949645158801,171.2667005
180,90,15,10,1513,73.05475512138655,1507,72.03881007894505,245,50.719294586130964,185.5566165
180,90,15,10,1466,69.1998816840527,1462,73.51538609688345,303,53.96153263869204,71.6072478
180,90,15,10,1492,74.95489813207541,1484,65.60417539646775,437,46.81335550612387,221.0471814
180,90,15,10,1510,64.24058366975329,1520,62.59569058610745,281,45.28241005929826,78.0103414
180,90,15,25,3700,97.00264774403995,3697,104.59559475336661,1095,73.2316215757563,293.8578769
180,90,15,25,3511,99.84000767586099,3532,100.06639268690093,1018,65.09637388333554,296.8645612
180,90,15,25,3349,92.10999982206098,3396,88.22617900737767,932,58.16197702074789,295.1490597
180,90,15,25,3711,99.44909364171303,3693,93.54498443305908,809,61.45176015495608,273.3056986
180,90,15,25,3743,105.72918272557268,3771,102.51222001487623,1014,67.79876968024661,269.1594184
180,90,15,25,3769,101.42593301673848,3757,98.65877904276881,1274,69.92322522061336,322.7754916
180,90,15,25,3584,97.22637200349762,3593,100.14818871025054,1032,71.93733560792947,1102.0356344
180,90,15,25,3736,98.25870677129804,3730,101.04218790558826,1187,69.24721090762147,239.6977463
180,90,15,25,3494,92.1687420720326,3426,90.19041058788711,1220,65.81593740251826,349.307562
180,90,15,25,3788,120.802813517472,3799,113.38224831679148,1346,80.89934694252342,270.8776789
180,90,30,10,1518,115.96093083054086,1520,110.86316813264416,569,89.38790156941945,129.264289
180,90,30,10,1561,126.79405789979214,1564,131.0027703727303,735,110.6504922270241,136.9826706
180,90,30,10,1566,123.87133146468064,1565,132.28294114232224,872,110.49825828583603,176.8171751
180,90,30,10,1576,112.8683699249412,1575,122.97319726272052,724,97.652480507487,229.2211692
180,90,30,10,1509,120.95322516233534,1512,113.95280526727697,657,94.64666968228086,198.0710594
180,90,30,10,1530,122.46919858277968,1546,124.15558880882882,707,102.11065050642424,121.7123059
180,90,30,10,1518,120.48243139935315,1514,123.46608786987633,1060,101.43787560544655,273.4932983
180,90,30,10,1506,116.19805065646135,1502,118.6290427888236,875,95.50903797751656,154.2314796
180,90,30,10,1491,116.58829939065873,1492,109.59274905631419,714,90.2023177308169,307.915518
180,90,30,10,1514,116.31027865570137,1521,120.44477898666146,728,93.88470315658432,300.0546985
180,90,30,25,3660,168.09987353741468,3646,161.67209612069215,2309,130.6230049514409,366.4980734
180,90,30,25,3820,163.93265145263982,3801,166.26115786728036,2265,129.86234424020145,427.8612208
180,90,30,25,3801,166.11389468345146,3807,168.94518812761828,2108,135.26058529648515,426.2816041
180,90,30,25,3651,154.94197113492976,3675,153.94167180037007,1706,126.45023805783478,278.4533505
180,90,30,25,3819,165.10677572228153,3785,176.64289269245285,2187,140.66887608757045,612.3936581
180,90,30,25,3746,157.40469840354015,3755,157.9789511339422,2490,125.65640015589031,430.0379182
180,90,30,25,3798,159.482597062656,3796,175.66622139241917,2286,135.2823387891152,393.4527325
180,90,30,25,3804,166.41936434721265,3795,154.39305686868838,2176,125.24397531592693,364.3481781
180,90,30,25,3712,147.5278538241284,3738,149.27226899048753,1120,115.02023888722906,168.6828685
180,90,30,25,3793,152.28776410580238,3803,160.10321957870943,2327,126.72171764004692,337.9294469
180,90,45,10,1561,150.4659246507993,1564,156.5567615153493,922,139.4241353309758,264.7108999
