m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,GRB_P1_Sym_H_norm_0,GRB_P1_Sym_H_norm_1,GRB_P1_Sym_time
120,40,30,10,570,282.7342117960986,4480,121.8267896975315,894,39.59706754013103,8.5872597
120,40,30,10,559,262.7214537681324,4477,124.82246458816304,893,46.05620818384,3.1288827
120,40,30,10,554,282.89994773819774,4677,129.4567339476918,897,46.97173066464248,2.5198011
120,40,30,10,566,283.6438785938097,4638,118.10753832834953,894,37.28710913885625,2.5674327
120,40,30,10,561,279.5979787159539,4598,115.85070868312283,896,34.156513378550066,2.6804906
120,40,30,25,1269,659.765035903004,4798,95.6533230649045,893,14.678375018719166,2.69487
120,40,30,25,1269,667.3743707346206,4796,98.73510175918581,897,16.995769573582326,2.3593117
120,40,30,25,1283,697.9179639658093,4797,97.87776878366117,895,16.74534479778369,2.3892938
120,40,30,25,1281,678.455415350779,4799,97.45126248305203,891,16.875462934527295,2.2911372
120,40,30,25,1266,691.5963261741706,4796,95.5405882392121,898,16.10537506270705,2.6209546
120,60,45,10,864,438.6082095607725,7198,215.1368192645899,2016,85.89738057339682,21.5555164
120,60,45,10,856,432.24655564313156,7198,223.41535279993792,2017,99.8299196603053,14.3859741
120,60,45,10,839,426.24095926721174,7020,229.57200904791526,2017,110.16255935142551,29.1268554
120,60,45,10,855,450.1428368661029,7137,206.49939651923802,2015,82.3629063702378,24.3083415
120,60,45,10,856,435.1940735003361,7197,217.50209864534378,2018,95.63769835106253,13.2220937
120,60,45,25,1871,978.4947111179274,7200,166.91381042812006,2017,40.8752325579825,22.6741009
120,60,45,25,1931,1014.6009320992974,7198,175.73269043055788,2016,47.95526483354416,31.2165911
120,60,45,25,1917,1022.0909992754433,7200,166.64387975717074,2019,42.0280502581025,17.490964
120,60,45,25,1886,977.3320455388825,7199,169.41066290695102,2017,43.10744429162668,31.0159988
120,60,45,25,1897,967.7684778267716,7197,169.61655981593185,2014,42.69228283533968,23.2511637
