m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_||H||_1,1_norm_P123_LS_Time(s),1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_Time(s)
120,40,30,10,570,2104,121.8267896975315,794,47.52412630841604,1557,120.74436674969363,5.499008655548096,444,61.342831845713384,5.2562336921691895
120,40,30,10,559,2083,124.82246458816306,772,54.40756497571083,1535,118.16116478945952,5.421674966812134,442,67.43087962082106,5.681840419769287
120,40,30,10,554,2196,129.45673394769182,782,62.46638737259373,1634,126.16431505488274,5.03206729888916,450,89.21291950317504,5.783539533615112
120,40,30,10,566,2121,118.1075383283495,766,43.973939067109285,1572,112.07943420303108,5.409823894500732,446,52.88903256947515,4.964401960372925
120,40,30,10,561,2132,115.8507086831229,794,40.88953581292598,1620,111.6588177811443,5.665977478027344,456,52.282907926786685,5.321041822433472
120,40,30,25,1269,2018,95.6533230649045,716,17.486099355526655,1464,103.61448225208937,5.107844352722168,410,25.0640505519122,5.2716064453125
120,40,30,25,1269,2083,98.73510175918588,728,20.105218043807838,1519,106.59257833702493,5.260923147201538,398,25.7541275814407,5.180427551269531
120,40,30,25,1283,2095,97.87776878366115,740,19.784670675589624,1553,108.13223301263699,5.274654865264893,426,24.258782237413303,5.610259771347046
120,40,30,25,1281,2045,97.45126248305206,712,20.03034733792927,1551,108.39784705743945,5.353669881820679,412,25.160348273548188,5.297872066497803
120,40,30,25,1266,2084,95.5405882392121,744,18.945562974094425,1543,105.53626030346057,5.513266324996948,422,26.091423766605523,5.6647655963897705
120,60,45,10,864,3386,215.13681926458986,1754,103.4692201123653,2570,241.6771102965614,5.131154298782349,977,138.41418713745622,5.586374044418335
120,60,45,10,856,3414,223.41535279993786,1792,121.12074889397336,2548,224.54789743751775,5.305915355682373,995,165.68410576484635,5.455987453460693
120,60,45,10,839,3288,229.5720090479152,1812,135.48651044868993,2481,234.54358132409544,5.57080340385437,1017,194.28266471185236,5.551797151565552
120,60,45,10,855,3348,206.49939651923802,1784,99.5342354466236,2503,220.57058594198872,5.221714973449707,1033,147.0078784029513,5.326331853866577
120,60,45,10,856,3413,217.50209864534372,1800,112.96864258437272,2591,245.6562205576197,5.2905261516571045,999,150.21522860844246,5.578007459640503
120,60,45,25,1871,3227,166.91381042812003,1692,48.20651320015099,2395,185.0246785309688,5.23258376121521,987,63.549978340386645,5.313054323196411
120,60,45,25,1931,3260,175.73269043055774,1720,56.90590787881852,2446,198.28614770821014,6.257080078125,965,76.97113061343225,5.162196159362793
120,60,45,25,1917,3218,166.64387975717074,1686,49.43444588699256,2390,182.8157420464367,6.169063568115234,973,61.304748205791526,5.215228319168091
120,60,45,25,1886,3204,169.41066290695102,1716,51.36230315467391,2405,188.6359847814338,6.756890296936035,949,69.39921406568227,5.167926788330078
120,60,45,25,1897,3209,169.61655981593188,1710,50.46780038582132,2438,186.15343712076412,6.261361598968506,957,60.75073167668841,5.4435813426971436
