m,r,GRB_PLS_H_norm_0_mean,GRB_PLS_H_norm_1_mean,GRB_PLS_H_rank_mean,GRB_PLS_time_mean,GRB_PMN_H_norm_0_mean,GRB_PMN_H_norm_1_mean,GRB_PMN_H_rank_mean,GRB_PMN_time_mean,GRB_PMX_H_norm_0_mean,GRB_PMX_H_norm_1_mean,GRB_PMX_H_rank_mean,GRB_PMX_time_mean
100,25,0.33460185039809787,0.7867314456181077,1.3066666666666666,1.4810580333333334,0.2953427096449586,0.7652441173804676,1.4000000000000001,1.0683709666666668,0.6014862738983839,0.9518542659358219,2.4,1149.6151809333332
120,30,0.29142465132894585,0.7832245466381736,1.4000000000000001,1.3563570333333335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
140,35,0.3159660244802173,0.7736597802892754,1.438095238095238,2.5769811333333337,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
160,40,0.3782448865296168,0.774393829115578,1.4333333333333333,4.474073433333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
180,45,0.35191679836785067,0.7723899299680741,1.5407407407407405,4.551342733333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
200,50,0.3671732495070383,0.7545908774857782,1.626666666666667,8.515772066666665,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
220,55,0.3378220475110725,0.7606715545750792,1.5151515151515154,9.428473633333335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
240,60,0.35949124660533177,0.7630821697932976,1.5055555555555555,14.243705666666665,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
260,65,0.3444873421894987,0.7629324498397181,1.5538461538461537,16.8025477,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
280,70,0.3455330874476072,0.7581974054131443,1.5999999999999999,20.250372566666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
300,75,0.3422999319905628,0.7381000341139902,1.648888888888889,26.57345343333333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
320,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
340,85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
360,90,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
380,95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
400,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
420,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
440,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
460,115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
480,120,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
500,125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
520,130,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
540,135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
560,140,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
580,145,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
600,150,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,15,0.3994566898924518,0.8034606174518318,1.3111111111111111,0.1757607,0.37223169680243234,0.7852092178432905,1.2888888888888888,0.2379061,0.6905253189477395,0.9635581640704456,2.3333333333333335,2.536600266666667
80,20,0.35586198704756894,0.7953032268678504,1.45,0.5055397666666667,0.3182362209392997,0.798181826022153,1.3333333333333333,0.4385446333333333,0.6293019405543004,0.9570357432585411,2.35,17.258534833333332
