m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_div_AMP_norm_0_mean,DRS_H_div_AMP_norm_1_mean,DRS_H_rank_ratio_mean,DRS_time_mean
100,25,100,9467,267.08678553282834,9481,275.03961456595357,0.4558264141397476,0.8857010407178394,0.9777777777777779,17.184290133333334
100,25,10,973,72.89755307088436,962,72.59281734785465,0.6279741838707902,0.970787915091686,0.3244444444444444,15.737299433333334
100,25,25,2319,101.17745010280981,2333,111.82023282909434,0.6404320710166611,0.9589474537267152,0.43999999999999995,16.825932866666665
120,30,100,13593,346.03137480623616,13611,369.66127990958455,0.45825334483798646,0.8847951057611514,0.974074074074074,17.484239333333335
120,30,10,1355,99.80873754755082,1358,105.06571721122509,0.6188226824428187,0.9675742325333886,0.2703703703703703,19.008690466666668
120,30,25,3338,139.10693670101531,3340,145.204467446941,0.6855113538446859,0.9485206144246711,0.5777777777777778,18.8822175
140,35,100,18507,463.3900999392818,18490,443.1598124422209,0.45897467586286544,0.8836921413166218,0.9777777777777777,20.073168733333333
140,35,10,1789,121.62462086768784,1778,113.01477741741061,0.7133717711693636,0.9717457036643605,0.30793650793650795,23.52414966666667
140,35,25,4448,179.90295059911824,4476,180.47515218375497,0.6302266745415233,0.9519540356301035,0.5523809523809523,25.778834933333332
160,40,100,24011,535.63656431811,23980,537.2729576100203,0.4560002586137812,0.8793466149501826,0.9666666666666667,17.7842922
160,40,10,2353,151.02613690601257,2375,141.9317346546718,0.6602414117040127,0.9677025714962307,0.3499999999999999,18.041863433333333
160,40,25,5750,169.93998218580367,5840,199.04207994638045,0.6744460494988509,0.9578109683841484,0.5416666666666666,32.0419969
180,45,100,30132,572.6610644946708,30115,566.4456044505993,0.4590792851234588,0.8791973279842958,0.9728395061728395,19.58390256666667
180,45,10,2881,162.88510352336996,2869,155.72201938533303,0.6337024395796904,0.964007674795436,0.35555555555555557,23.79922163333333
180,45,25,7397,231.19524639204784,7355,212.23288608559392,0.647199047753059,0.9505403006680174,0.5777777777777778,32.683373966666665
200,50,100,37174,691.8588856935366,37214,690.3573245398604,0.4558870561131944,0.8820139983156325,0.98,22.359743066666667
200,50,10,3757,188.97067216803165,3760,199.64421973766073,0.640214001033176,0.9596484710780587,0.39111111111111113,39.59107716666667
200,50,25,8711,214.49367556216208,8919,252.52937550034298,0.6250739431565496,0.9380783240309244,0.5911111111111111,35.878119399999996
220,55,100,45207,845.2459092080632,45271,790.3957968310999,0.4594872304945486,0.8835824984327907,0.98989898989899,20.676957033333334
220,55,10,4333,210.66110230163576,4321,201.83980114185013,0.6252905652011872,0.9619467042936055,0.37777777777777777,25.474405766666667
220,55,25,10472,278.55665533598744,10396,263.23979816589764,0.6974794472443914,0.9488278353491199,0.6080808080808081,19.322036833333335
240,60,100,53556,837.5436745207629,53554,856.8894293269684,0.46045320420676245,0.8839635875520498,0.9796296296296295,25.466825033333333
240,60,10,5216,251.22736364170154,5152,240.49831461450253,0.6993632398891778,0.9626173102077038,0.4055555555555555,28.798435166666664
240,60,25,12747,356.5130215846905,12731,317.48907668817867,0.6859202569176762,0.9464425579780791,0.6129629629629628,31.002711033333338
260,65,100,63202,1061.2694981906827,63159,1032.425322546576,0.45820044158277967,0.8727865316940773,0.9794871794871796,23.273872933333333
260,65,10,5954,246.36676605847674,5882,248.27895238925717,0.6316586819853617,0.960733508030569,0.39316239316239315,34.63041793333333
260,65,25,14668,360.01279160164796,14489,337.3547712305675,0.6705095382215812,0.9445868224265817,0.6341880341880342,34.53434776666666
280,70,100,72424,1005.4881019362725,72414,1119.178571922252,0.4576288184946266,0.8814380352694431,0.980952380952381,27.55260626666667
280,70,10,6874,259.80711384651977,6827,287.5499272267583,0.6325918786681896,0.9592866130413977,0.4158730158730159,43.23086486666667
280,70,25,17368,416.922136252021,17356,400.5892049822008,0.7175328988045521,0.950774011612394,0.6365079365079365,41.1324801
300,75,100,83885,1177.9723715455184,84075,1251.0083233939445,0.4588693771877937,0.8767090556771268,0.9837037037037036,28.027452366666665
300,75,10,7358,272.399337837729,7350,289.655501046066,0.6069877378716805,0.9577348483854164,0.3940740740740741,31.795937066666667
300,75,25,19591,426.9016627102174,19316,428.05906285899727,0.7375354346185468,0.9445025336080008,0.6725925925925926,35.12824653333333
320,80,100,94697,1270.2114510877484,94738,1301.73856055408,0.45784671656729065,0.8833513760288273,0.9833333333333334,28.950556600000002
320,80,10,9123,318.88378132643123,9055,302.29700824068163,0.5941267467025737,0.9548865938399113,0.4166666666666667,58.3583568
320,80,25,22673,458.4775203441548,22593,486.5696702686795,0.7017121908397111,0.940969126502223,0.6791666666666666,45.1770977
340,85,100,107258,1416.2013773971812,107242,1377.6760109465054,0.4590969179788311,0.8804583087195647,0.9830065359477124,35.69636293333333
340,85,10,9886,356.7420283710101,9755,347.5234241832712,0.6590061862118172,0.9579342022147393,0.44052287581699345,44.0163135
340,85,25,25337,492.1232470464755,25224,502.9936932681312,0.6978245356427836,0.9399756302156566,0.6784313725490195,60.47825696666666
360,90,100,119311,1470.345507590164,119141,1463.8874396830295,0.46156710107790294,0.8857777039631047,0.9864197530864197,53.02031276666667
360,90,10,11332,407.6105714231319,11537,397.0523406194093,0.6675430440007792,0.956138779664081,0.44814814814814813,70.33584493333333
360,90,25,26918,555.7883013188224,26757,551.2989316410209,0.6840056096638149,0.9394134986927193,0.7012345679012345,59.82849453333333
380,95,100,134356,1751.0647234973837,134721,1812.275819358076,0.45990926886896905,0.8818702590930828,0.9824561403508771,90.33840096666667
380,95,10,12578,436.16377492427,12441,411.96810151791715,0.6643657326923299,0.9585345724308549,0.47719298245614034,138.5232935
380,95,25,31358,602.591116953911,31022,608.8606826512096,0.7154098999188201,0.946190947056496,0.7029239766081871,163.55611683333333
400,100,100,148243,1766.6698156383895,147906,1813.0278618565153,0.4616986593174138,0.8823878657366682,0.9866666666666667,124.61974860000002
400,100,10,14053,434.7299226049274,14175,444.0489744229568,0.6985275154439469,0.9601261114013017,0.48,193.09515143333337
400,100,25,33617,641.6789404830054,33698,655.0363437203396,0.7103088657513145,0.9415224022704035,0.6955555555555556,178.70582746666665
420,105,100,162833,1952.1403130960318,162451,1830.8908783088762,0.46200497080855557,0.8813717672519483,0.9862433862433863,112.15933183333334
420,105,10,14968,458.14488134514295,14840,442.3539114271656,0.6179576258974669,0.9551015684790111,0.48253968253968255,189.20596653333334
420,105,25,36706,622.5133515759064,36487,635.2215549324861,0.7294087623118215,0.9384122285027611,0.7111111111111112,197.65813043333333
440,110,100,179421,2199.1989736082774,179442,2140.047111038501,0.462274933886274,0.8803444578326692,0.9808080808080808,117.51801953333332
440,110,10,16999,504.5523948594064,17008,497.6876081881742,0.6358222832547763,0.9524185378268633,0.494949494949495,192.79262983333334
440,110,25,39296,699.0938368644577,40035,674.7489504611727,0.7370815190898853,0.9455637218691706,0.7222222222222223,144.4002789333333
460,115,100,196241,2113.7652174093582,196279,2073.7524306490886,0.46109806994065233,0.8823296221002845,0.9874396135265702,142.95752439999998
460,115,10,18652,511.8202355092889,18699,538.7538526535309,0.6289686410677107,0.949824091123873,0.47246376811594204,259.99642910000006
460,115,25,42541,736.0356258088357,42944,742.7622793879044,0.7540013694592275,0.9410896616795789,0.7111111111111112,199.0073141
480,120,100,213236,2336.217798186027,213161,2344.9838612679587,0.462857494339423,0.8836582710888004,0.9861111111111112,148.25062176666665
480,120,10,19563,543.2945300356602,19763,576.333378934804,0.6838787219997681,0.9533993638687873,0.5,242.75689773333332
480,120,25,48183,827.6388322884774,48281,812.1750593574911,0.7410762546333447,0.9429218922385093,0.7453703703703703,252.28810623333334
500,125,100,227157,2260.290512309185,227210,2202.4439430697503,0.467888603576004,0.8886290607775446,0.9893333333333333,164.9799803
500,125,10,21787,591.0252206640289,21831,643.4819532967507,0.6329968870686739,0.9505750518332498,0.4897777777777777,261.15614043333335
500,125,25,50536,815.328173853733,50390,797.7289520885813,0.760110376267915,0.9413927436197788,0.7546666666666667,277.46607339999997
520,130,100,249188,2622.7125792714496,249568,2566.495263167818,0.46455410738236297,0.8824105264562276,0.9863247863247864,176.54271046666668
520,130,10,23772,648.9067233395322,23792,622.1631725018797,0.6911658515852322,0.9518602131982211,0.505982905982906,257.9451993
520,130,25,55253,913.3637076607081,54828,859.5767944421391,0.7673641654162942,0.9412549590004056,0.7461538461538462,233.65926426666667
540,135,100,265894,2578.3700171147893,265544,2503.3696748558295,0.46522381093455073,0.8847954272426749,0.9851851851851853,185.21763976666668
540,135,10,25088,651.3376053937578,24806,643.5556025000005,0.6755935596980202,0.9554628064884837,0.5020576131687243,223.23029726666667
540,135,25,58182,936.6521755749334,57764,888.4177138193224,0.7308414539175553,0.9423512620335278,0.751440329218107,296.9604483333333
560,140,100,287224,2755.1233149511254,287519,2739.5910818985676,0.4641650453979525,0.882441622140076,0.984920634920635,202.34257089999997
560,140,10,26185,684.573089864361,26794,696.7369276995821,0.6600892615889377,0.9481117493076656,0.5230158730158729,317.78278133333333
560,140,25,63899,980.1193303223063,64039,971.4880478687171,0.7526556617808219,0.9368572354491507,0.7523809523809524,333.39036013333333
580,145,100,307655,2894.6963415297496,307977,3013.8795439938085,0.46562660305075676,0.8831847815565563,0.9915708812260536,213.23121496666667
580,145,10,28391,714.5838709351079,28285,689.9321973819204,0.6645396306014385,0.9513562979969805,0.5042145593869732,442.0372579666667
580,145,25,68062,982.7683721177959,68653,971.8340188005251,0.7670944552626837,0.9394339103230891,0.7478927203065133,360.69820453333335
600,150,100,329089,3085.590209277542,328418,3023.737318913255,0.46531026450401763,0.8856202360925177,0.9851851851851853,220.21080543333335
600,150,10,30116,772.5444145974518,30075,770.973037033269,0.7144742572839548,0.9518104680350327,0.5451851851851852,362.12091776666665
600,150,25,72041,992.1839849612645,72468,1051.2246076824454,0.7390091663490522,0.9370814878700521,0.7466666666666666,373.90711773333334
60,15,100,3389,136.93753872616296,3383,128.49690639406177,0.45370000948900396,0.887711277551535,0.9703703703703703,0.7721414333333333
60,15,10,355,40.70983929267513,354,44.29771883009203,0.810064739924098,0.9748394999283221,0.19999999999999998,0.5139659333333334
60,15,25,802,58.60625160910707,804,59.38926016804642,0.6778257603795811,0.9598602492388549,0.37777777777777777,0.7773947333333334
80,20,100,6004,189.12484150031074,6015,196.82156947229595,0.453997275867692,0.881691161512073,0.9777777777777777,1.1579287333333335
80,20,10,616,66.37137478733521,616,64.75614355634158,0.6294422232651289,0.9653884165160278,0.25555555555555554,1.2186553666666666
80,20,25,1510,79.08291673824117,1503,82.82782182728081,0.6232666669876834,0.9554767948180265,0.48888888888888893,1.7930893
