m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,DRS_H_div_AMP_norm_0_mean,DRS_H_div_AMP_norm_1_mean,DRS_H_rank_ratio_mean,DRS_time_mean
100,25,100,9467,267.08678553282834,9481,275.03961456595357,0.2583155183166803,0.6992771978088518,0.5066666666666667,31.8105466
100,25,10,973,72.89755307088436,962,72.59281734785465,0.3614253525749737,0.8091606010982683,0.04888888888888889,12.0555089
100,25,25,2319,101.17745010280981,2333,111.82023282909434,0.30185723819706495,0.7884083065908505,0.10666666666666667,12.860812899999999
120,30,100,13593,346.03137480623616,13611,369.66127990958455,0.26207071557971134,0.7013706229479415,0.6444444444444444,36.49876963333333
120,30,10,1355,99.80873754755082,1358,105.06571721122509,0.34427329367625203,0.8186579067771976,0.06666666666666667,13.388161799999999
120,30,25,3338,139.10693670101531,3340,145.204467446941,0.3799014868121526,0.7764980189320828,0.1962962962962963,11.924967333333333
140,35,100,18507,463.3900999392818,18490,443.1598124422209,0.2584774461774375,0.6910782490971283,0.638095238095238,43.41302363333333
140,35,10,1789,121.62462086768784,1778,113.01477741741061,0.4183097550139401,0.8226970589341013,0.07619047619047618,17.552534766666668
140,35,25,4448,179.90295059911824,4476,180.47515218375497,0.3294695707804543,0.7667651698688155,0.13333333333333333,17.010219833333334
160,40,100,24011,535.63656431811,23980,537.2729576100203,0.2594417174807296,0.6915185485043889,0.6527777777777778,43.7498779
160,40,10,2353,151.02613690601257,2375,141.9317346546718,0.3629352472200902,0.798769589504262,0.06944444444444443,11.024560933333333
160,40,25,5750,169.93998218580367,5840,199.04207994638045,0.38704978826204034,0.7671003084860325,0.16111111111111112,41.37457886666667
180,45,100,30132,572.6610644946708,30115,566.4456044505993,0.26305111527528474,0.6940122385861187,0.6666666666666666,62.41677893333334
180,45,10,2881,162.88510352336996,2869,155.72201938533303,0.3748728415862222,0.807372293778001,0.07160493827160494,27.086827233333334
180,45,25,7397,231.19524639204784,7355,212.23288608559392,0.3503112576579042,0.767598782864086,0.19259259259259257,19.312145666666666
200,50,100,37174,691.8588856935366,37214,690.3573245398604,0.25688707270045635,0.6901343305910549,0.6333333333333334,64.13460966666666
200,50,10,3757,188.97067216803165,3760,199.64421973766073,0.34377269903802893,0.7955966435421274,0.08666666666666667,15.838409799999999
200,50,25,8711,214.49367556216208,8919,252.52937550034298,0.29568175130780316,0.7411581875644706,0.15777777777777777,20.823529433333334
220,55,100,45207,845.2459092080632,45271,790.3957968310999,0.2611959494732133,0.6745516460128381,0.6202020202020203,55.840719666666665
220,55,10,4333,210.66110230163576,4321,201.83980114185013,0.3271821918826936,0.7970370259028353,0.07878787878787878,20.68563783333333
220,55,25,10472,278.55665533598744,10396,263.23979816589764,0.36179206225606614,0.7459822280547331,0.1717171717171717,30.39795616666667
240,60,100,53556,837.5436745207629,53554,856.8894293269684,0.2635009928597016,0.6856465802251462,0.6814814814814815,71.01919466666668
240,60,10,5216,251.22736364170154,5152,240.49831461450253,0.4194165658203806,0.7990852810889016,0.08888888888888889,31.101409099999998
240,60,25,12747,356.5130215846905,12731,317.48907668817867,0.36221048432455744,0.7604998809128137,0.1851851851851852,32.30002273333333
260,65,100,63202,1061.2694981906827,63159,1032.425322546576,0.26071760020206036,0.6797791778059791,0.7316239316239317,76.38155593333333
260,65,10,5954,246.36676605847674,5882,248.27895238925717,0.35568201028371477,0.784954631721586,0.09572649572649572,24.160345666666668
260,65,25,14668,360.01279160164796,14489,337.3547712305675,0.323419268376397,0.7402405911419808,0.19145299145299147,20.148874033333332
280,70,100,72424,1005.4881019362725,72414,1119.178571922252,0.26234530241908566,0.6793833209930472,0.6761904761904761,92.8037018
280,70,10,6874,259.80711384651977,6827,287.5499272267583,0.340523500495161,0.7941569203468882,0.08571428571428573,34.96614906666667
