m,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,H_div_mr_norm_0_mean,H_div_AMP_norm_0_mean,H_div_AMP_norm_1_mean,H_rank_ratio_mean,time_mean
100,25,100,4724,208.22634019526882,4726,212.3067463818913,0.96344,0.5068562280440897,0.8220792009279677,1.888,1.2877417799999997
120,30,100,6839,323.50849070119165,6836,299.1800487107093,0.9632777777777779,0.5051083745773364,0.8182667776283539,1.9266666666666665,1.7112628400000003
140,35,100,9305,387.74139351155094,9298,390.71146673795533,0.9719591836734693,0.5099736398336485,0.8233184579670974,1.9257142857142857,3.00896812
160,40,100,12065,393.11109838784455,12055,419.1456246632678,0.9626875,0.5086158023981775,0.8202600973266388,1.9150000000000003,5.17920752
180,45,100,15399,533.1026698383073,15383,533.0865517541828,0.9670370370370371,0.5105831735906674,0.8183144790945102,1.9333333333333336,7.85221516
200,50,100,18918,620.9142414866321,18920,605.1364525211833,0.9658,0.5107994495694091,0.8210848644126287,1.94,13.49176832
220,55,100,22994,730.2845705875707,22992,765.61866854437,0.9697355371900827,0.5121092325229167,0.8178898115539518,1.9709090909090907,21.12979638
240,60,100,27385,832.1697377123977,27401,844.8095122687638,0.9615833333333332,0.5082565484923024,0.8192754462161901,1.9633333333333334,27.899243939999998
260,65,100,31882,877.7271500084163,31916,868.079582847115,0.9715976331360947,0.5145005760361139,0.8170122514553342,1.9415384615384617,38.69242508
280,70,100,37143,1030.0367029391482,37148,1037.4331565255181,0.9665204081632653,0.5109317704806597,0.8201149916154049,1.9600000000000002,51.122621159999994
300,75,100,42283,1026.9198955007578,42268,1016.6063065038635,0.9680444444444445,0.5137159475006905,0.820904931595055,1.9626666666666668,62.36622646000001
320,80,100,48432,1275.2445670432458,48438,1304.005020721515,0.9666796874999999,0.512115037509714,0.8205460689640717,1.9725000000000001,83.14033784
340,85,100,54503,1234.4532953781875,54517,1228.4770396104027,0.9682214532871972,0.5135295134631341,0.8185884615232313,1.9741176470588235,106.27373279999999
360,90,100,60909,1291.0064251296976,60915,1337.1173053481102,0.9706234567901234,0.5161434156451338,0.8119123221418898,1.9622222222222223,125.15773762
380,95,100,67945,1456.304682886757,67992,1459.8927501781936,0.9668310249307479,0.5136517980749072,0.8142648113343354,1.972631578947368,165.05130537999997
400,100,100,75576,1686.926876314082,75610,1615.1174563257396,0.97165,0.515744043440648,0.8150457653762185,1.968,201.00225026
420,105,100,82977,1711.5141506845655,82909,1722.3304242538668,0.9720816326530614,0.5165932082803186,0.8125187592611616,1.9695238095238097,239.49049278
440,110,100,90855,1713.610758139704,90796,1729.5951258039572,0.9710123966942149,0.5170022677519779,0.8117923413989647,1.9636363636363636,308.14643102
460,115,100,99449,1932.171636770335,99349,1945.9551546240073,0.96882797731569,0.515640838733787,0.8104484683189487,1.9756521739130435,344.36220152000004
480,120,100,107635,1939.8199111302808,107616,1942.2346505196783,0.9726944444444443,0.5188024696070601,0.8140489874562095,1.9616666666666667,480.23371346000005
500,125,100,117077,2134.8662317634753,117126,2189.255426652688,0.9710816000000001,0.517536038215824,0.8168297220689622,1.9616,482.36128904
520,130,100,126870,2218.297622733589,126950,2233.261525357579,0.9711360946745561,0.5191131843250294,0.8122256659120254,1.9815384615384617,615.4400123400001
540,135,100,137117,2418.581286921716,137108,2404.637376271499,-1.0,-1.0,-1.0,-1.0,-1.0
560,140,100,147273,2496.1011546965315,147220,2534.484906701234,-1.0,-1.0,-1.0,-1.0,-1.0
580,145,100,157761,2562.3727053000903,157687,2621.4185840445934,-1.0,-1.0,-1.0,-1.0,-1.0
600,150,100,167962,2680.5848325474985,168101,2619.387115534827,-1.0,-1.0,-1.0,-1.0,-1.0
60,15,100,1731,117.37481253927393,1731,109.09571153918685,0.9615555555555556,0.5017593340687467,0.8337283512405078,1.8933333333333333,0.1591879
80,20,100,3040,198.01815209806924,3040,195.27288207018452,0.958625,0.5024117827383258,0.824943701074368,1.95,0.38229272
