m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P123_LS_||H||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_Time(s),1_norm_P1_LS_||H||_1,1_norm_P1_LS_||H||_0,1_norm_P1_LS_Time(s),1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_Time(s)
150,75,12,0.1,505,491,33.26452144742611,755,20.231044492114474,27.399209584244822,187,23.11548757553101,12.691153281505288,58,5.904033184051514,12.691153281505288,58,5.906720399856567
150,75,12,0.1,477,461,31.494234308965787,843,23.7432331224084,24.972234409881825,117,5.653508186340332,17.083837018038114,38,5.37136697769165,17.08383701803812,38,5.58516526222229
150,75,12,0.1,530,516,32.99540739000445,718,25.39201117701052,27.38158973273592,95,6.039037227630615,17.76226532761923,38,6.16943621635437,17.762265327619232,38,5.765792608261108
150,75,12,0.1,513,501,30.976936649124383,1081,21.948228744122662,24.472463441460537,147,6.339922189712524,13.024584064491616,76,5.523416042327881,13.024584064491616,76,5.6217663288116455
150,75,12,0.1,509,498,33.46801790371404,635,17.061325788822955,25.98194761602411,196,5.977747440338135,9.832583681175116,50,6.061432838439941,9.832583681175116,50,5.723374843597412
150,75,12,0.1,548,544,33.28704741741038,629,20.912191394749108,27.92587343338564,178,5.726433753967285,14.451148092655313,58,5.950416564941406,14.45114809265531,58,6.004873752593994
150,75,12,0.1,533,526,29.59006104589749,919,19.45083036567295,23.501371998000124,141,5.957627534866333,12.345132846767193,44,5.677441835403442,12.345132846767193,44,5.81916069984436
150,75,12,0.1,552,3114,7147415211597212.0,869,18.94808180142984,25.451221320345404,148,6.0055012702941895,11.761559830157015,38,5.753715991973877,11.76155983015702,38,5.685329437255859
150,75,12,0.1,520,519,35.084369321568886,1152,28.469848688512464,23.623744219634712,106,5.9619200229644775,11.970504697624987,40,5.667128801345825,11.970504697624987,40,6.035753965377808
150,75,12,0.1,539,536,34.72067952058484,825,21.2953373934669,23.2146185618464,131,5.690314292907715,9.031573989123592,40,5.568143844604492,9.031573989123592,40,5.538863658905029
150,75,12,0.25,1306,1284,47.23185536710984,1757,29.266144859641365,31.011210160255743,358,6.068639278411865,12.351171546410423,74,5.709535121917725,12.351171546410423,74,5.67350435256958
150,75,12,0.25,1244,1215,41.64825389479519,1563,28.50699839366764,30.86469898111021,337,5.9345338344573975,14.77720726516582,66,5.524270534515381,14.77720726516582,66,5.904830455780029
150,75,12,0.25,1243,1192,41.36344871590076,1384,28.46709230659953,28.350926878360752,237,5.7270588874816895,13.19241073003741,48,5.582681894302368,13.19241073003741,48,5.376916170120239
