,,,,,,,,Gurobi,,,,,,LS,,,,,,,,,ADMM,,,ADMMe,,
m,n,r,d,A+AF8-norm+AF8-0,A+AF8-norm+AF8-1,AMP+AF8-norm+AF8-0,AMP+AF8-norm+AF8-1,GRB+AF8-P1+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-time,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-0,GRB+AF8-P1+AF8-Sym+AF8-H+AF8-norm+AF8-1,GRB+AF8-P1+AF8-Sym+AF8-time,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P123+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P123+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-LS+AF8-Time(s),1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-1,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8AfAB8-H+AHwAfABf-0,1+AF8-norm+AF8-P1+AF8-sym+AF8-LS+AF8-Time(s),ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time,ADMM+AF8-H+AF8-norm+AF8-0,ADMM+AF8-H+AF8-norm+AF8-1,ADMM+AF8-time
150,75,12,10,1043,81.6944764882912,1011,33.264521447426,79,10.3028101789915,4.3766467,79,10.3028101792064,5.4523099,27.3992095842448,187,23.115487575531,12.6911532815053,58,5.90403318405151,12.6911532815053,58,5.90672039985657,483,24.6321440968717,2.3401017,333,24.6288028358994,142.8100925
150,75,12,10,956,71.5444255498758,928,31.4942343089657,59,11.4830031412604,6.8566695,59,11.4830031886986,6.2217704,24.9722344098818,117,5.65350818634033,17.0838370180381,38,5.37136697769165,17.0838370180381,38,5.58516526222229,282,23.2715109729061,1.2562398,181,23.2663474078448,78.1537206
150,75,12,10,1041,75.5531761431171,1015,32.9954073900044,42,11.3794151933018,5.1296232,42,11.3794151933155,8.5396692,27.3815897327359,95,6.03903722763062,17.7622653276192,38,6.16943621635437,17.7622653276192,38,5.76579260826111,193,24.7153535231186,0.6993653,161,24.714075245911,180.5014663
150,75,12,10,1039,72.4630828598916,1020,30.9769366491244,75,9.36549313937779,12.4701243,75,9.36549313937766,11.6649673,24.4724634414605,147,6.33992218971252,13.0245840644916,76,5.52341604232788,13.0245840644916,76,5.62176632881165,369,22.1931914468076,2.6405431,267,22.1902580475188,137.9162038
150,75,12,10,1020,81.2330630842419,999,33.468017903714,64,9.23812515559406,3.2985599,64,9.23812610785646,4.1791303,25.9819476160241,196,5.97774744033814,9.83258368117512,50,6.06143283843994,9.83258368117512,50,5.72337484359741,418,25.129716445429,2.9498913,299,25.1269870720993,299.5635559
150,75,12,10,1073,84.3492671498941,1065,33.2870474174104,63,11.8333335102791,3.2504392,63,11.8333335102787,3.632213,27.9258734333856,178,5.72643375396729,14.4511480926553,58,5.95041656494141,14.4511480926553,58,6.00487375259399,425,25.9661733719899,2.8947289,289,25.9624547105081,216.3437757
150,75,12,10,1083,76.4932859152243,1070,29.5900610458974,66,10.0267020638925,6.129831,66,10.0267020638925,6.6187624,23.5013719980001,141,5.95762753486633,12.3451328467672,44,5.67744183540344,12.3451328467672,44,5.81916069984436,359,22.271105474447,1.5410163,236,22.2675872270194,101.1913492
150,75,12,10,1096,82.0518171339152,1088,32.1435778890725,71,9.38468146273821,5.7978392,71,9.38468146273821,5.4674473,25.4512213203454,148,6.00550127029419,11.761559830157,38,5.75371599197388,11.761559830157,38,5.68532943725586,338,23.2991782574564,2.2427016,243,23.2963818743945,98.703916
150,75,12,10,1075,81.2484132592617,1069,35.0843693215689,50,10.4820793693356,10.0491195,50,10.4820800092089,14.0695591,23.6237442196347,106,5.96192002296448,11.970504697625,40,5.66712880134583,11.970504697625,40,6.03575396537781,283,22.593090851253,2.3894482,177,22.5899679086102,58.6446058
