m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
150,75,12,10,1043,81.69447648829124,1011,33.26452144742604,333,24.628802835899393,142.8100925
150,75,12,10,956,71.54442554987584,928,31.494234308965744,181,23.266347407844762,78.1537206
150,75,12,10,1041,75.55317614311713,1015,32.99540739000444,161,24.71407524591102,180.5014663
150,75,12,10,1039,72.46308285989159,1020,30.97693664912438,267,22.19025804751882,137.9162038
150,75,12,10,1020,81.23306308424193,999,33.468017903714035,299,25.126987072099265,299.5635559
150,75,12,10,1073,84.34926714989413,1065,33.28704741741035,289,25.962454710508077,216.3437757
150,75,12,10,1083,76.49328591522428,1070,29.590061045897443,236,22.26758722701939,101.1913492
150,75,12,10,1096,82.05181713391521,1088,32.143577889072546,243,23.296381874394488,98.703916
150,75,12,10,1075,81.24841325926167,1069,35.08436932156886,177,22.589967908610205,58.6446058
150,75,12,10,1039,81.8795756231679,1035,34.72067952058479,276,23.214644952694684,213.8524304
150,75,12,25,2660,115.01876382482911,2608,47.231855367109794,813,30.64599432594745,300.9379659
150,75,12,25,2521,99.7973007184745,2461,41.64825389479514,458,29.37016869820928,252.8728919
150,75,12,25,2409,93.8779409255544,2321,41.3634487159007,476,27.262803802453057,161.3020286
150,75,12,25,2632,129.46845285780716,2589,54.68321177525809,858,39.446629958153366,298.3082009
150,75,12,25,2671,118.38840347827217,2624,47.84124455692737,793,35.96274640604486,253.5757269
150,75,12,25,2669,118.07980376204726,2606,49.494180134402626,724,31.10252538356742,221.2753728
150,75,12,25,2650,122.81624625743353,2613,49.614947616564585,785,34.585208969488114,211.1758164
150,75,12,25,2623,111.57600697796849,2571,45.74631887539824,614,30.70461215003317,262.7763514
150,75,12,25,2500,110.2585316563025,2421,43.108931237422055,568,31.668295613617676,278.8221422
150,75,12,25,2663,118.90914644655774,2624,46.92985178271937,542,32.96270065207337,287.5928071
150,75,27,10,1092,163.8350005771391,1082,55.68646191609739,626,47.11637243665087,109.13042
150,75,27,10,1105,165.28184631854754,1094,56.46963246119244,524,46.00679074193164,131.2711088
150,75,27,10,1123,155.06378092601975,1098,53.25404749593799,369,44.62768518765293,191.568096
150,75,27,10,1084,158.91518325238243,1079,52.34839912802494,428,43.22157968711203,21.5944372
150,75,27,10,1046,147.37306496873654,1012,49.686432508585725,564,42.61167614050459,244.2755653
150,75,27,10,1071,146.1722524939387,1048,49.329583162954464,461,42.70350913272389,168.9934516
150,75,27,10,1093,150.91814402391924,1076,50.59875507580839,534,42.702271819860314,191.5173151
150,75,27,10,1069,147.4961060611436,1050,50.46042555419619,498,43.48025724163623,171.7733531
150,75,27,10,1087,161.1648213991856,1075,55.34246591789164,494,46.57946985253418,97.7220285
150,75,27,10,1072,165.10185568741412,1068,55.70399758711056,510,47.03066375745273,128.3454634
150,75,27,25,2673,218.33123128658974,2611,72.94346950418867,1394,59.61910446012793,522.5032266
150,75,27,25,2624,215.82819633217022,2595,75.03737904196551,1422,61.429406927011264,373.3784888
150,75,27,25,2696,198.73754890530745,2680,65.53961282700348,1373,52.35456409633819,481.8966136
150,75,27,25,2587,223.27642289402246,2529,77.8233874929746,1052,60.74015926016723,363.6061563
150,75,27,25,2658,205.78416763969395,2621,68.88105886521873,1781,55.484650738407616,445.6327094
150,75,27,25,2678,203.55671133073938,2634,69.57483341878621,1421,58.35542845440188,448.6298241
150,75,27,25,2636,215.39545654050255,2589,73.19825077232204,1491,60.57546095350427,448.9876534
150,75,27,25,2711,211.3449311037518,2681,71.71350578122798,1082,55.336756663189206,337.7992937
150,75,27,25,2630,217.0390171319257,2563,71.93766022843647,1375,58.51685607592802,391.6375477
150,75,27,25,2626,201.76095230225206,2582,68.07366373540525,1261,53.28252298779223,252.2156472
150,75,42,10,1068,223.16740308652413,1062,69.13389984255959,725,63.88005685338618,103.718151
150,75,42,10,1069,230.56310005966625,1067,72.03357203026245,701,64.76163974242772,113.2185084
150,75,42,10,1082,207.0953822986775,1081,65.72054182927366,668,59.24064848114772,138.5143484
150,75,42,10,1101,216.3046337879405,1101,66.87029818734847,542,57.697474968717,66.9400908
150,75,42,10,1097,219.7516821073435,1090,67.34848701119148,667,60.34208259796077,160.4424059
150,75,42,10,1103,214.88178338801228,1098,67.11435012838743,674,60.26824893557012,72.5519445
150,75,42,10,1086,219.3587520036634,1077,67.05244600704219,820,60.96232875721629,300.8046428
150,75,42,10,1115,220.67268799239275,1112,68.65876814196436,661,63.69469870015071,84.8645267
150,75,42,10,1070,222.52701806209097,1067,69.11208086382801,763,63.205965447944074,236.4636353
150,75,42,10,1054,214.15215349820562,1048,68.1295408698829,635,61.870420103613895,29.992755
150,75,42,25,2648,287.76841959094963,2619,89.80639488650479,2021,79.94710675055043,408.3694694
150,75,42,25,2719,286.43721999433774,2688,89.19513554067768,1659,76.45106579931219,439.3915579
150,75,42,25,2686,289.0030109781416,2660,90.02983039240192,2030,80.43608313508642,362.1259795
150,75,42,25,2635,313.9987720317342,2598,97.38566803124796,2235,88.66128580478717,231.1417208
150,75,42,25,2729,313.30693529125926,2727,98.67392974609493,2216,85.8502620817949,374.0885919
150,75,42,25,2653,307.2723837724281,2627,96.9351368352356,2187,87.56624055669516,488.3372097
150,75,42,25,2663,305.28924836801707,2641,96.2669440347021,2190,88.28035395378049,343.0023439
150,75,42,25,2721,286.98873660452205,2698,91.17594037438066,2020,80.65442893274643,523.4429889
150,75,42,25,2689,301.2115150718947,2656,93.31430226661936,2578,84.68979910037547,481.7060131
150,75,42,25,2630,257.0672358246065,2545,78.4967149877663,2003,70.34578892795916,404.0280665
