m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
200,100,25,10,1938,175.31799472258763,1900,61.32212550344112,1394,47.831785474878146,3.7517226
200,100,25,10,1968,174.76334638492804,1957,56.80697212058679,708,43.050897499226494,2.3191257
200,100,25,10,1838,168.83806016769577,1795,57.38917836230928,860,44.05304350323349,3.4878134
200,100,25,10,1899,178.4082608372688,1865,60.65845358133067,1133,46.67662077178191,5.8182383
200,100,25,10,1892,173.5940734626016,1832,59.61863276921878,801,50.909233136228906,2.3879415
200,100,25,10,1888,173.20545397875455,1848,59.60965630524103,1088,45.9653000631659,3.6274207
200,100,25,10,1881,174.7345006877816,1863,59.33437323516324,1090,46.43389724320201,3.3655029
200,100,25,10,1873,174.84811151985346,1844,59.978447649907864,1031,46.466099689306986,3.2193935
200,100,25,10,1895,178.69105456968038,1850,62.695005200544244,1524,48.460009409126876,4.0591924
200,100,25,10,1904,172.4056211742685,1885,58.11767747100194,857,45.37736251796021,2.8164026
200,100,25,25,4701,239.64856738023843,4600,83.26413177962277,2837,61.95247812727007,7.2600753
200,100,25,25,4665,211.47302850147742,4535,73.80192026973221,1789,53.37500431670314,7.8448359
200,100,25,25,4563,251.86715023534822,4434,85.89922079727495,2227,64.47405519626611,4.5401353
200,100,25,25,4560,256.2845268943306,4432,86.82802432492898,3263,66.97632008127026,6.9535569
200,100,25,25,4669,261.5401923087748,4607,88.5756446885364,2408,64.78410855960037,6.4651878
200,100,25,25,4605,205.00949790517186,4450,75.38744528316917,2231,54.74125690714476,5.8440496
200,100,25,25,4631,220.01257346927048,4548,75.51616001091584,2136,56.35578922711413,4.7601548
200,100,25,25,4621,241.91333418101004,4519,82.82487146363555,2981,60.50373094737826,10.394594
200,100,25,25,4456,256.5900130594442,4327,86.69069681824048,3213,68.64595193455845,8.1837502
200,100,25,25,4652,224.15765012777166,4536,77.30899391075747,2015,58.42704605269097,5.1731063
200,100,50,10,1855,299.88971298088285,1826,91.70203252601053,1401,82.67660271400885,4.8597007
200,100,50,10,1891,296.6355635185046,1872,89.72635883480552,1549,78.90006989385006,5.570108
200,100,50,10,1923,308.88376150629585,1904,94.69068929305028,1693,84.87386340990776,6.8739882
200,100,50,10,1966,271.12913887574285,1932,83.1887917250994,1542,73.67025453528149,5.6458205
200,100,50,10,1906,297.5970971029463,1891,91.64321098935389,1560,81.51508429026532,9.4352646
200,100,50,10,1881,304.0281784727687,1863,94.46543699951084,1295,84.54835330463547,4.289215
200,100,50,10,1913,328.67183661405033,1901,100.27389744473861,1056,88.79295688945237,3.7072841
200,100,50,10,1904,291.5375694393159,1883,87.39508628672743,1380,79.283791145424,26.8458998
200,100,50,10,1909,299.7157798306288,1901,92.33397957296728,1573,80.92948681291676,6.0870313
200,100,50,10,1887,291.2766208470492,1870,87.26383317261971,1334,75.31922541496968,6.0377325
200,100,50,25,4748,415.95976091945994,4662,127.16656811558013,4336,107.90738870678145,11.0463373
200,100,50,25,4673,400.1507252852842,4555,121.15130449708525,3944,106.74281161254079,11.7241425
200,100,50,25,4704,414.36840826423986,4588,124.15389947225032,3407,109.1112263804316,11.6677833
200,100,50,25,4674,383.28655537005733,4497,117.22113161160354,4182,101.11981893491617,12.6542033
200,100,50,25,4648,410.84534084159486,4573,124.04272514551943,3811,108.21831430838044,9.2487796
200,100,50,25,4750,405.1940851156454,4639,122.16681205522804,4301,105.60447334606506,12.0912371
200,100,50,25,4780,409.1563454236166,4726,122.43713099522174,4439,106.50571640937707,10.6503905
200,100,50,25,4689,393.01520712061006,4617,121.1887748287174,3739,101.86619618000462,9.9405971
200,100,50,25,4781,411.1183952566854,4724,128.51779784939228,3623,109.65533227116877,10.0769019
200,100,50,25,4648,403.11697844348987,4523,123.11666515780605,3577,105.82954854143578,9.6687406
200,100,75,10,1903,408.6274535301925,1880,116.47715352373413,1718,109.5534765228984,3.9040314
200,100,75,10,1920,425.892294270913,1918,122.53904419221665,1912,117.66038606994854,3.3560494
200,100,75,10,1907,401.00571827758705,1902,117.14303242701934,1695,111.98308074100767,2.8634965
200,100,75,10,1926,383.77706502441083,1892,110.58534208772544,1807,104.88911507922693,4.3491823
200,100,75,10,1904,405.3741794502047,1883,118.9527297682565,1468,112.2916535492656,2.6406891
200,100,75,10,1947,398.8789807134934,1927,115.34474126133475,1685,107.92294796152827,3.5784407
200,100,75,10,1923,411.94811675296336,1915,117.87720772489234,1733,112.15896133307741,2.9293109
200,100,75,10,1947,420.6032452865396,1940,122.81637785589598,1593,113.32717745997192,2.4046254
200,100,75,10,1908,426.197834231833,1901,122.3552145393943,1672,116.51108741329989,2.843934
200,100,75,10,1898,402.4819563677357,1889,115.96151149729859,1791,110.90093659595802,3.3929192
200,100,75,25,4709,549.1635714192971,4639,159.34181060104245,4764,151.541493742386,7.4620674
200,100,75,25,4726,553.0764693699113,4648,158.63882073582593,4525,146.89257055542717,6.618959
200,100,75,25,4755,575.7023783901512,4709,164.24231067935636,4718,156.26163047653924,5.8725926
200,100,75,25,4684,532.3332480299107,4588,158.40378483917718,4469,150.29559857128484,6.473531
200,100,75,25,4673,562.0863791911694,4624,163.23787411473631,5369,153.47032096248185,7.0595021
200,100,75,25,4753,564.2420995861056,4721,161.73750134289742,4578,149.842568614369,6.1681789
200,100,75,25,4485,518.6067976385007,4369,149.81984476734866,4091,140.57369891558494,5.5111584
200,100,75,25,4722,538.4832231356119,4672,155.557424109976,4884,146.42615483347026,7.514676
200,100,75,25,4727,541.099676868276,4631,157.53078057946806,4333,149.87419836431766,6.3404808
200,100,75,25,4789,543.7519764242469,4740,157.25391887713027,4316,148.7242577629221,5.1723635
