m,n,r,d,A_norm_0,A_norm_1,AMP_norm_0,AMP_norm_1,ADMM_H_norm_0,ADMM_H_norm_1,ADMM_time
200,100,25,10,1938,175.31799472258763,1900,61.32212550344112,848,47.81957579117659,234.3893533
200,100,25,10,1968,174.76334638492804,1957,56.80697212058679,551,43.04553649001425,41.6740459
200,100,25,10,1838,168.83806016769577,1795,57.38917836230928,522,44.04513258467868,288.2895985
200,100,25,10,1899,178.4082608372688,1865,60.65845358133067,759,46.66592493755195,294.4441184
200,100,25,10,1892,173.5940734626016,1832,59.61863276921878,712,50.904938565941414,138.8424706
200,100,25,10,1888,173.20545397875455,1848,59.60965630524103,795,45.95794945891733,383.6900726
200,100,25,10,1881,174.7345006877816,1863,59.33437323516324,550,46.418073352615,197.1373393
200,100,25,10,1873,174.84811151985346,1844,59.978447649907864,698,46.45719415804974,292.2305196
200,100,25,10,1895,178.69105456968038,1850,62.695005200544244,1006,48.44765556095606,442.094902
200,100,25,10,1904,172.4056211742685,1885,58.11767747100194,472,45.36905763587505,337.77091
200,100,25,25,4701,239.64856738023843,4600,83.26413177962277,2296,61.9385510829133,463.1433555
200,100,25,25,4665,211.47302850147742,4535,73.80192026973221,1470,53.36306646275565,499.6161928
200,100,25,25,4563,251.86715023534822,4434,85.89922079727495,1619,64.45993242633152,405.8940867
200,100,25,25,4560,256.2845268943306,4432,86.82802432492898,2494,66.95917211504438,541.3591384
200,100,25,25,4669,261.5401923087748,4607,88.5756446885364,1772,64.76612364467434,551.4417131
200,100,25,25,4605,205.00949790517186,4450,75.38744528316917,1624,54.726003749390365,551.9339277
200,100,25,25,4631,220.01257346927048,4548,75.51616001091584,1465,56.33912360027571,452.018887
200,100,25,25,4621,241.91333418101004,4519,82.82487146363555,2332,60.49040689172727,587.5972317
200,100,25,25,4456,256.5900130594442,4327,86.69069681824048,2494,68.62917136026212,528.4300022
200,100,25,25,4652,224.15765012777166,4536,77.30899391075747,1502,58.41372345099539,511.70572
200,100,50,10,1855,299.88971298088285,1826,91.70203252601053,1070,82.6676593854499,328.1310321
200,100,50,10,1891,296.6355635185046,1872,89.72635883480552,1193,78.89102611205875,317.0058964
200,100,50,10,1923,308.88376150629585,1904,94.69068929305028,1388,84.86643260814218,414.8160835
200,100,50,10,1966,271.12913887574285,1932,83.1887917250994,1303,73.66320771542935,418.1780885
200,100,50,10,1906,297.5970971029463,1891,91.64321098935389,1227,81.50422090971037,331.945241
200,100,50,10,1881,304.0281784727687,1863,94.46543699951084,1109,84.54378117137702,188.9195734
200,100,50,10,1913,328.67183661405033,1901,100.27389744473861,981,88.78698727211942,209.5390643
200,100,50,10,1904,291.5375694393159,1883,87.39508628672743,1351,79.28130639913056,406.5122241
200,100,50,10,1909,299.7157798306288,1901,92.33397957296728,1395,80.92473316451287,353.3071453
200,100,50,10,1887,291.2766208470492,1870,87.26383317261971,947,75.30977871586477,163.7499727
200,100,50,25,4748,415.95976091945994,4662,127.16656811558013,3479,107.88867938450964,893.0318343
200,100,50,25,4673,400.1507252852842,4555,121.15130449708525,3226,106.72425931174625,972.5613758
200,100,50,25,4704,414.36840826423986,4588,124.15389947225032,2912,109.09502561834242,666.1216904
200,100,50,25,4674,383.28655537005733,4497,117.22113161160354,3462,101.10313094381152,1088.6641642
200,100,50,25,4648,410.84534084159486,4573,124.04272514551943,3190,108.20195576181918,635.8891021
200,100,50,25,4750,405.1940851156454,4639,122.16681205522804,3658,105.58939240163126,871.5228877
200,100,50,25,4780,409.1563454236166,4726,122.43713099522174,3437,106.4853514574335,933.4966593
200,100,50,25,4689,393.01520712061006,4617,121.1887748287174,3083,101.85003467326473,830.4421802
200,100,50,25,4781,411.1183952566854,4724,128.51779784939228,2848,109.63641380931514,667.6928534
200,100,50,25,4648,403.11697844348987,4523,123.11666515780605,2911,105.81254153412526,895.4445384
200,100,75,10,1903,408.6274535301925,1880,116.47715352373413,1544,109.54894880211133,240.2632493
200,100,75,10,1920,425.892294270913,1918,122.53904419221665,1742,117.65651222754448,123.8507892
200,100,75,10,1907,401.00571827758705,1902,117.14303242701934,1568,111.98017384402591,106.0615215
200,100,75,10,1926,383.77706502441083,1892,110.58534208772544,1693,104.88496215173132,244.0096139
200,100,75,10,1904,405.3741794502047,1883,118.9527297682565,1430,112.29044337781494,120.8875479
200,100,75,10,1947,398.8789807134934,1927,115.34474126133475,1520,107.91763261952269,249.8655348
200,100,75,10,1923,411.94811675296336,1915,117.87720772489234,1561,112.15489062905542,134.4218918
200,100,75,10,1947,420.6032452865396,1940,122.81637785589598,1473,113.32296239545471,54.3798977
