m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||hatA^+||_0,||hatA^+||_1,1_norm_P1_LP_||H||_1,1_norm_P1_LP_||H||_0,1_norm_P1_LP_Time(s),1_norm_P1_sym_LP_||H||_1,1_norm_P1_sym_LP_||H||_0,1_norm_P1_sym_LP_Time(s),1_norm_P123_LS_||H||_1,1_norm_P123_LS_||H||_0,1_norm_P123_LS_Time(s),1_norm_P1_LS_||H||_1,1_norm_P1_LS_||H||_0,1_norm_P1_LS_Time(s),1_norm_P1_sym_LS_||H||_1,1_norm_P1_sym_LS_||H||_0,1_norm_P1_sym_LS_Time(s)
250,125,25,0.1,1475,10619,1.5597668528274682e+16,2205,44.183365927144045,21.194058168541687,227,275.6827220916748,21.19405856614693,227,214.40122938156128,64.21205417928876,840,5.757011890411377,34.01855331070431,233,5.559600591659546,33.7979653806794,237,5.446499824523926
250,125,25,0.1,1441,10405,1.924521154329829e+16,2037,35.846794014326235,18.10004974425126,166,292.33504700660706,18.19657705251214,166,1343.5907678604126,55.1494313224276,550,5.506427764892578,22.860044256666374,205,5.385571479797363,22.86004425666637,205,5.505721569061279
200,100,25,0.1,952,930,61.3221255034412,1439,37.747277595129454,19.750398444749614,176,132.07300472259521,19.750398371601555,176,101.67848634719849,57.269942089027694,441,5.891477584838867,43.50944405814538,187,5.417675256729126,43.50944405814539,187,6.249005317687988
200,100,25,0.1,993,988,56.806972120586885,1293,30.467189254989222,15.53428113978344,114,101.27285408973694,15.534280757948057,114,96.1880247592926,46.006068067749375,338,5.879209995269775,19.2419756402447,157,5.4510579109191895,19.241975640244696,157,5.519555568695068
200,100,25,0.1,897,6221,1.9678096958857524e+16,1420,32.889679646234605,17.8953772363081,123,114.82775115966797,17.895376070283604,123,101.65433192253113,51.64354039054511,352,6.49336314201355,27.275425297478854,205,5.393578767776489,27.275425297478858,205,5.953367233276367
200,100,25,0.1,944,6836,2.1294969649433396e+16,1002,30.631765740718258,16.798670195593218,124,92.54774570465088,16.79867060917038,124,93.39697599411011,50.77718252480507,497,6.180058717727661,24.702846385988142,169,5.350485324859619,24.70284638598815,169,6.022391319274902
200,100,25,0.1,937,6850,1.9395119589754e+16,764,27.536302357965283,16.97768076043027,82,91.46912384033203,16.977683289636875,82,92.2234263420105,53.30292368333468,367,6.455529451370239,19.341292243658817,115,6.214327573776245,19.341292243658817,115,6.101062536239624
200,100,25,0.1,932,6402,1.7281374211448072e+16,1301,35.822259809693236,17.66681199672705,174,108.76395177841187,17.66680718496359,174,102.15678000450134,56.54659702064224,660,6.095219135284424,25.83991687296477,261,5.508216619491577,25.839916872964775,261,6.033114194869995
200,100,25,0.1,943,6650,2.292710411426405e+16,1470,35.618329101758434,18.07997677019491,101,105.72077894210815,18.079976894040726,101,109.35266757011414,50.076002452339125,447,5.88057804107666,23.312867418005524,165,5.761410474777222,23.312867418005517,165,5.75261378288269
200,100,25,0.1,957,941,59.97844764990797,1226,32.10010005238321,17.085700460441295,124,127.35441303253174,17.08570187259573,124,96.95152974128723,50.51648537703503,426,5.817666053771973,21.11253544422816,159,5.66011118888855,21.11253544422816,159,5.416981220245361
200,100,25,0.1,933,915,62.695005200544344,1533,37.37030721621511,18.275947570608658,199,180.09877681732178,18.377059698803258,211,284.8762104511261,55.86067125998405,796,5.876732349395752,30.187148818513958,231,5.396156549453735,30.187148818513958,231,5.3072381019592285
200,100,25,0.1,971,959,58.11767747100207,4022,7638102186072579.0,17.681795736014852,115,117.05244565010071,17.681796136006984,115,107.0417890548706,50.01056400381385,294,5.835590600967407,24.167691891147232,175,5.839561700820923,23.966396224581338,161,5.7114269733428955
200,100,25,0.25,2284,2226,83.26413177962291,4415,1.0319662930820742e+16,20.99582455347883,284,346.78592801094055,20.995825121427437,284,166.44830179214478,77.97609544732708,1324,5.514703750610352,43.216540735360695,279,5.220436096191406,51.624053656284175,317,5.801502704620361
200,100,25,0.25,2317,7713,1.837367766536007e+16,2644,41.241791930957376,19.851011018125085,208,192.73649430274963,19.85101078442237,208,157.89723801612854,62.21761340193241,748,6.3211400508880615,25.676428496242334,261,5.3875768184661865,25.676428496242334,261,5.5574951171875
200,100,25,0.25,2264,2215,85.89922079727509,2257,47.63055186469879,22.070028643511865,218,223.8413712978363,22.070028759977212,218,148.9871551990509,73.27155088150894,993,5.774598836898804,30.76931906673407,273,5.119917154312134,30.769319066734077,273,5.555858373641968
200,100,25,0.25,2269,7542,2.8986195701348136e+16,2582,45.25698204334098,20.02333323953736,297,205.28175950050354,20.02333337780992,297,153.2775433063507,79.8144492295838,1239,5.390249252319336,43.41246974130907,301,5.352411270141602,43.41246974130909,301,5.776310920715332
200,100,25,0.25,2301,7713,2.8229801758896116e+16,3291,47.0998905522344,20.13362980515545,253,318.6637337207794,20.13362758092193,253,161.20772051811218,80.94732134787854,1130,5.499876499176025,43.19943877120116,297,5.195180654525757,48.884194341043425,303,5.299094915390015
200,100,25,0.25,2251,2178,75.38744528316926,4664,1.061042808450964e+16,20.166626741158236,199,160.8684527873993,20.16662656495223,199,152.40405774116516,65.50913034862793,959,5.594929933547974,32.40931110788821,239,5.324338674545288,32.409311107888215,239,5.310381650924683
200,100,25,0.25,2334,2295,75.51616001091591,2434,40.72126707620772,19.06609606512008,206,166.21549320220947,19.06609611634934,206,145.51144313812256,65.58847627691993,1021,5.611424207687378,27.593217623621392,233,5.332635402679443,27.5932176236214,233,5.48871111869812
200,100,25,0.25,2350,7447,2.2184994593512144e+16,2452,45.30489715356852,20.02272525073459,248,558.1546981334686,20.022725216147194,248,146.5430474281311,70.32637016112298,1131,5.415719509124756,36.286936440641,273,5.110147714614868,32.81716983837972,281,5.47356653213501
200,100,25,0.25,2216,2155,86.69069681824064,2814,55.30759757102832,25.805627209250943,248,1316.3918783664703,25.80562432894258,248,167.01013827323914,87.35291152465072,1200,5.671773195266724,54.02845665078973,269,5.277386665344238,54.02845665078968,269,5.263676643371582
